total_kills,target,league,league_mean_kills,mean_total_kills_t1,mean_total_kills_t2,impact_top_t1,impact_top_t2,impact_jung_t1,impact_jung_t2,impact_mid_t1,impact_mid_t2,impact_adc_t1,impact_adc_t2,impact_sup_t1,impact_sup_t2
16,0,LVP SL,29.969111969111967,28.558139534883722,30.25925925925926,-1.3603132380529956,-0.45679640886142536,0.0,-0.5784372716376573,-0.7617602605765441,-0.6846922688699593,0.0,0.0,-0.921677589708203,0.5242238058008439
20,0,LIT,32.71739130434783,32.0,35.7027027027027,0.0,-1.3603132380529956,0.32753807521989486,0.0,-0.3873551209826367,0.0,-0.37767264106295784,0.4429461064722737,1.2372613973041773,0.5242238058008439
31,1,LFL,28.526315789473685,25.098765432098766,25.73170731707317,0.848657229316764,-0.45679640886142536,0.5389634199095568,0.32753807521989486,0.0,0.897446015381,-2.3910915340261134,-0.9430955185567598,1.6828904338588373,0.0
23,0,PRM,32.617747440273035,30.442857142857143,31.651515151515152,0.0,0.0,0.0,-0.9693097778453819,0.0,0.0,0.0,-0.657179183981043,0.0,1.6828904338588373
34,1,NLC,32.95673076923077,31.357142857142858,36.78260869565217,-0.5037518269163179,0.0,1.6394748633597445,-0.9693097778453819,0.0,0.0,0.0,0.46100413175601673,-0.921677589708203,0.5242238058008439
21,0,LVP SL,29.969111969111967,29.602739726027398,29.14,0.848657229316764,0.0,0.5389634199095568,-0.5429342414812517,0.897446015381,0.0,-0.657179183981043,-0.37767264106295784,-0.921677589708203,1.2372613973041773
23,0,LFL,28.526315789473685,29.182692307692307,27.15909090909091,0.848657229316764,-1.3603132380529956,-0.9693097778453819,0.32753807521989486,0.0,0.0,-0.37767264106295784,0.46100413175601673,0.0,0.5242238058008439
37,1,NLC,32.95673076923077,32.016666666666666,35.0,0.848657229316764,-1.3603132380529956,0.5389634199095568,0.0,-0.7617602605765441,0.0,-0.37767264106295784,0.46100413175601673,-0.921677589708203,0.5242238058008439
21,0,PRM,32.617747440273035,31.0,33.38095238095238,-1.3603132380529956,-0.6403120432933953,0.32753807521989486,0.0,1.3229103360066112,0.0,0.0,0.46100413175601673,1.2372613973041773,0.5242238058008439
36,1,LVP SL,29.969111969111967,32.13953488372093,30.976744186046513,-1.3603132380529956,0.848657229316764,-0.5429342414812517,0.0,-0.7617602605765441,-0.6846922688699593,0.46100413175601673,-0.37767264106295784,0.5242238058008439,0.0
