total_kills,league_mean_kills,league,mean_total_kills_t1,mean_total_kills_t2,bet_line,bet_value,bet_status,house_odds,actual_value,impact_top_t1,impact_top_t2,impact_jung_t1,impact_jung_t2,impact_mid_t1,impact_mid_t2,impact_adc_t1,impact_adc_t2,impact_sup_t1,impact_sup_t2,won_bet,profit_bet,prob_under,aposta_vencedora,lucro_aposta,probabilidade_under,valor_esperado,recomendado_modelo
32,33.06190476190476,NLC,30.29824561403509,31.42528735632184,under,32.5,won,1.83,32.0,0.0,0.0,-2.4473084787996164,-1.0332368361565436,-0.8095983863874423,-1.234138311281054,0.0,-1.4462880706363492,-0.9659723665617116,-0.6816806276591585,1,0.8300000000000001,0.809923868082134,1,0.8300000000000001,0.809923868082134,0.4821606785903053,True
22,30.59057971014493,NACL,31.5,27.07843137254902,under,32.5,won,1.83,21.0,-0.5685724682663711,-1.155716943849221,-1.0332368361565436,0.0,-1.234138311281054,-0.8095983863874423,-0.468056459937813,-0.8113044475574895,-1.1261807448375052,-0.9659723665617116,1,0.8300000000000001,0.804181378065075,1,0.8300000000000001,0.804181378065075,0.4716519218590872,True
24,27.25563909774436,LCP,25.638297872340427,30.33333333333333,under,26.5,won,1.83,24.0,0.0,0.0,-2.0515084196455184,-1.0332368361565436,-0.8095983863874423,-1.1986585288014666,-0.913098065074376,-0.8113044475574895,-1.1261807448375052,1.7827561319782248,1,0.8300000000000001,0.7979436092628145,1,0.8300000000000001,0.7979436092628145,0.46023680495095054,True
20,27.14814814814815,LEC,26.27027027027027,28.75675675675676,under,29.5,won,1.83,20.0,-1.155716943849221,0.0,0.0,-1.0332368361565436,0.6655385399034301,-1.1986585288014666,0.0,-0.468056459937813,-1.1261807448375052,-1.078880905409381,1,0.8300000000000001,0.7963461108041991,1,0.8300000000000001,0.7963461108041991,0.45731338277168454,True
33,30.59057971014493,NACL,28.80851063829787,27.07843137254902,under,32.5,lost,1.83,33.0,-0.8659941634725179,0.0,-0.7760435577368519,0.0,0.0,0.0,0.0,0.0,-3.700805908305771,0.0,0,-1.0,0.7961803077883439,0,-1.0,0.7961803077883439,0.4570099632526694,True
27,30.07286432160804,LPL,26.4,26.88571428571429,under,25.5,lost,1.83,27.0,0.0,-0.5685724682663711,-0.6320467219229506,0.0,-0.6263770292967372,0.0,0.0,-0.913098065074376,-1.7642883932950577,-1.1261807448375052,0,-1.0,0.7866809327086413,0,-1.0,0.7866809327086413,0.4396261068568136,True
25,29.229559748427672,LFL,26.232558139534884,28.729166666666668,under,29.5,won,1.83,25.0,-1.155716943849221,0.0,-0.6320467219229506,0.0,0.0,0.0,-0.468056459937813,0.5231029362444133,-1.842584791571916,-1.078880905409381,1,0.8300000000000001,0.7757751215459711,1,0.8300000000000001,0.7757751215459711,0.4196684724291271,True
27,30.07286432160804,LPL,28.474074074074075,29.01020408163265,under,29.5,won,1.83,27.0,-0.5685724682663711,-1.155716943849221,-0.751940118689614,-0.7760435577368519,0.0,0.0,0.0,0.0,-1.7642883932950577,0.0,1,0.8300000000000001,0.7669906314105952,1,0.8300000000000001,0.7669906314105952,0.40359285548138923,True
19,33.23076923076923,ROL,30.22641509433962,32.895833333333336,under,31.5,won,1.83,19.0,0.0,0.0,-0.7760435577368519,-0.6320467219229506,-0.8095983863874423,0.0,1.0830233897470125,0.0,-3.700805908305771,-1.1261807448375052,1,0.8300000000000001,0.7422275647215582,1,0.8300000000000001,0.7422275647215582,0.3582764434404515,True
16,27.25563909774436,LCP,27.73684210526316,25.638297872340427,under,26.5,won,1.83,16.0,0.0,0.0,0.0,-0.7760435577368519,0.6655385399034301,-1.0617142411045393,0.0,0.0,-0.9659723665617116,-0.6816806276591585,1,0.8300000000000001,0.7402172539004714,1,0.8300000000000001,0.7402172539004714,0.3545975746378628,True
