timestamp,category,name,context
2025-10-01T16:43:54.418263,champions,Velkoz,Campeão não encontrado no modelo (tentou: Velkoz)
2025-10-01T16:43:54.422272,champions,Kaisa,Campeão não encontrado no modelo (tentou: Kaisa)
