league_encoded,mean_league_kills,std_league_kills,mean_impact_team1,mean_impact_team2,total_impact,impact_diff,impact_t1_pos1,impact_t1_pos2,impact_t1_pos3,impact_t1_pos4,impact_t1_pos5,impact_t2_pos1,impact_t2_pos2,impact_t2_pos3,impact_t2_pos4,impact_t2_pos5,total_kills,game_id
99,29.514877102199225,7.781927291794298,-0.41165300451070264,-0.31999936303695475,-0.7316523675476574,-0.09165364147374788,-0.8667289540510765,-1.274877102199227,0.026789564467442517,0.0,0.05655146922934762,-3.4459115849578446,-1.4239680112901354,0.6360662940271915,0.9557111330948906,1.678105353941124,22,0
99,29.514877102199225,7.781927291794298,0.3779694522612381,-0.5581485500496207,-0.1801790977883826,0.9361180023108588,-0.5773771021992253,0.0,1.2351228978007747,0.685122897800774,0.5469785679038672,-0.014877102199225334,-0.5806665758834342,-1.3541628164849406,-1.49949248681461,0.6584562311341067,29,1
99,29.514877102199225,7.781927291794298,-0.09356185786341271,-0.8307075404909761,-0.9242693983543888,0.7371456826275633,0.24702765970553742,-1.5148771021992253,0.8997570441422376,-1.0773771021992253,0.9776602112336121,-0.31487710219922604,-1.2267415089788862,0.17559908827696447,-1.2291628164849406,-1.5583553630687916,40,2
80,30.14344262295082,8.252180225436618,0.353798122143386,-1.5767978389338069,-1.222999716790421,1.9305959610771928,-3.926051318602994,0.0,3.9994145199063276,0.612654938024793,1.0829724713888034,0.0,-1.9081485053037603,0.45271122320302837,-5.018442622950818,-1.410109289617484,18,3
80,30.14344262295082,8.252180225436618,0.10808548944518251,0.23264669529013915,0.34073218473532163,-0.12456120584495664,0.5036162005785947,0.44117276166456776,-1.7920912715994675,-1.1737456532538495,2.561475409836067,0.0,1.8253073770491817,-0.3434426229508176,0.18989071038251382,-0.5085219880301821,28,4
80,30.14344262295082,8.252180225436618,1.0391003490786992,-0.4220438185869398,0.6170565304917595,1.461144167665639,0.0,-3.943442622950819,4.0565573770491845,3.9994145199063276,1.0829724713888034,-3.926051318602994,0.8565573770491817,-1.7920912715994675,0.18989071038251382,2.561475409836067,13,5
80,30.14344262295082,8.252180225436618,-0.36700224183830626,0.22080031474810582,-0.14620192709020044,-0.5878025565864121,0.0,0.44117276166456776,-1.0184426229508183,-0.032331511839707616,-1.2254098360655732,0.0,1.8253073770491817,-1.981280460788657,1.0121129326047367,0.2478617248752677,19,6
99,29.514877102199225,7.781927291794298,0.3275914429008985,-0.21764629495597987,0.10994514794491861,0.5452377378568783,-0.8667289540510765,2.4851228978007747,0.7351228978007747,-2.3936649809871042,1.678105353941124,-0.5773771021992253,0.23820931755386,0.026789564467442517,-1.7535134658355886,0.9776602112336121,34,7
80,30.14344262295082,8.252180225436618,-0.3676481450047014,0.5178961748633888,0.1502480298586874,-0.8855443198680901,0.0,1.8253073770491817,-1.981280460788657,-1.1737456532538495,-0.5085219880301821,0.0,0.8565573770491817,-1.0184426229508183,0.18989071038251382,2.561475409836067,21,8
99,29.514877102199225,7.781927291794298,0.10412596163388414,0.37278616780375984,0.476912129437644,-0.2686602061698757,-3.4459115849578446,-0.5806665758834342,2.274596582011302,1.6141551558652907,0.6584562311341067,-0.16942255674468143,0.0,1.2593164461878708,0.22705838167174264,0.5469785679038672,26,9
80,30.14344262295082,8.252180225436618,-1.2610194272346789,0.31940712168291796,-0.9416123055517609,-1.5804265489175968,-3.926051318602994,0.44117276166456776,-0.3434426229508176,-2.4767759562841505,0.0,0.0,-1.9081485053037603,0.9306314511232543,1.0121129326047367,1.5624397299903592,15,10
99,29.514877102199225,7.781927291794298,0.7586441951279597,-0.4650343272021594,0.29360986792580024,1.2236785223301192,-0.31487710219922604,3.151789564467439,0.8997570441422376,0.0,0.05655146922934762,-1.414877102199224,1.632663881407332,-1.3541628164849406,0.9557111330948906,-2.144506731828855,26,11
80,30.14344262295082,8.252180225436618,0.631498489631064,-2.26936551802265,-1.6378670283915862,2.9008640076537144,0.0,-0.8101092896174862,3.9994145199063276,1.378296507483963,-1.410109289617484,-4.143442622950818,-0.3136553889082663,0.45271122320302837,-0.19899817850637547,-7.143442622950818,18,12
99,29.514877102199225,7.781927291794298,-0.4261793250200746,-0.6406521194525041,-1.0668314444725788,0.2144727944324295,1.2351228978007747,-1.2267415089788862,0.17559908827696447,0.0,-2.314877102199226,-1.5583553630687916,-1.274877102199227,-0.2926548799770039,-1.2291628164849406,1.1517895644674425,29,13
80,30.14344262295082,8.252180225436618,0.5800563418524944,0.7555773342836787,1.3356336761361731,-0.17552099243118424,-4.143442622950818,2.6065573770491817,3.9994145199063276,0.18989071038251382,0.2478617248752677,0.0,0.8565573770491817,-1.0184426229508183,1.378296507483963,2.561475409836067,21,14
80,30.14344262295082,8.252180225436618,0.14560024182859052,-0.7483826016403199,-0.6027823598117293,0.8939828434689104,0.0,1.8253073770491817,-1.981280460788657,-0.19899817850637547,1.0829724713888034,0.0,0.44117276166456776,1.4146969119329036,-5.018442622950818,-0.5793400588482527,15,15
99,29.514877102199225,7.781927291794298,-0.17942728822838278,-0.26345793981515087,-0.44288522804353364,0.08403065158676809,-0.31487710219922604,-1.274877102199227,0.6360662940271915,0.0,0.05655146922934762,-0.8667289540510765,0.23820931755386,0.026789564467442517,-2.3936649809871042,1.678105353941124,21,16
99,29.514877102199225,7.781927291794298,1.16153927357012,-0.2521961690972397,0.9093431044728804,1.4137354426673596,1.2351228978007747,0.0,2.274596582011302,0.9557111330948906,1.3422657549436323,-0.014877102199225334,-0.5806665758834342,0.17559908827696447,-1.49949248681461,0.6584562311341067,30,17
