league,year,date,game,patch,side,t1,t2,top_t1,jung_t1,mid_t1,adc_t1,sup_t1,top_t2,jung_t2,mid_t2,adc_t2,sup_t2,kills_t2,market_name,selection_line,bet_line,bet_value,bet_type,event_id,bet_status,house_odds,home_score,away_score,actual_value,gamelength,total_kills,result_t1,matched_map,matching_score
CD,2025,2025-07-21 17:00:00,RED Academy vs Vivo Keyd Stars Academy,15.14,Blue,RED Academy,Vivo Keyd Stars Academy,Rumble,Vi,Taliyah,Corki,Alistar,Sion,Xin Zhao,Aurora,Miss Fortune,Bard,26,Map 1 - Totals,Over Total Kills,over,29.5,kills,a6daa496ecbe4345ea75,won,1.83,0,0,35.0,29.68,35,0,1,HIGH
CD,2025,2025-07-21 20:00:00,Corinthians Esports vs Los Grandes,15.14,Blue,Corinthians Esports,Los Grandes,Jayce,Wukong,Taliyah,Varus,Rell,Sion,Trundle,Orianna,Yasuo,Alistar,8,Map 1 - Totals,Under Total Kills,under,27.5,kills,8e8fdb3039b1ec92dc6f,won,1.83,0,0,27.0,45.23,27,1,1,HIGH
LCK,2025,2025-07-22 05:00:00,Hanwha Life Esports Challengers vs OKSavingsBank BRION Challengers,15.14,Blue,Hanwha Life Esports Challengers,OKSavingsBank BRION Challengers,Gwen,Zed,Ahri,Ezreal,Rakan,Jax,Trundle,Taliyah,Xayah,Nautilus,19,Map 1 - Totals,Over Total Kills,over,28.5,kills,c302a93da3ceccf4f8a1,won,1.83,0,0,30.0,35.87,30,0,1,HIGH
LCK,2025,2025-07-22 05:00:00,Hanwha Life Esports Challengers vs OKSavingsBank BRION Challengers,15.14,Blue,Hanwha Life Esports Challengers,OKSavingsBank BRION Challengers,K'Sante,Lee Sin,Azir,Varus,Alistar,Sion,Wukong,Aurora,Kai'Sa,Neeko,9,Map 2 - Totals,Over Total Kills,over,28.5,kills,c302a93da3ceccf4f8a1,lost,1.83,0,0,27.0,30.17,27,1,2,HIGH
LCK,2025,2025-07-22 07:00:00,BNK FEARX Youth vs Gen.G Global Academy,15.14,Blue,BNK FEARX Youth,Gen.G Global Academy,K'Sante,Xin Zhao,Azir,Miss Fortune,Rell,Rumble,Maokai,Yone,Lucian,Braum,16,Map 1 - Totals,Over Total Kills,over,30.5,kills,ea357c14b1557e967c3b,lost,1.83,0,0,20.0,35.2,20,0,1,HIGH
LCK,2025,2025-07-22 07:00:00,BNK FEARX Youth vs Gen.G Global Academy,15.14,Blue,BNK FEARX Youth,Gen.G Global Academy,Ambessa,Jarvan IV,Taliyah,Kai'Sa,Poppy,Sion,Wukong,Aurora,Sivir,Alistar,7,Map 2 - Totals,Over Total Kills,over,30.5,kills,ea357c14b1557e967c3b,lost,1.83,0,0,25.0,31.62,25,1,2,HIGH
PRM,2025,2025-07-22 13:00:00,Eintracht Frankfurt vs ROSSMANN Centaurs,15.14,Blue,Eintracht Frankfurt,ROSSMANN Centaurs,Rumble,Skarner,Taliyah,Xayah,Rell,Gwen,Vi,Annie,Corki,Pyke,24,Map 1 - Totals,Over Total Kills,over,32.5,kills,17f06d28b2fdeac2e1cf,won,1.83,0,0,44.0,37.63,44,0,1,HIGH
PRM,2025,2025-07-22 13:00:00,Eintracht Frankfurt vs ROSSMANN Centaurs,15.14,Blue,Eintracht Frankfurt,ROSSMANN Centaurs,K'Sante,Jarvan IV,Viktor,Varus,Rakan,Jayce,Trundle,Galio,Jhin,Nautilus,14,Map 2 - Totals,Over Total Kills,over,32.5,kills,17f06d28b2fdeac2e1cf,won,1.83,0,0,41.0,33.27,41,1,2,HIGH
LVP SL,2025,2025-07-22 14:00:00,UCAM Esports vs ZETA,15.13,Blue,UCAM Esports,ZETA,Sion,Nocturne,Ahri,Xayah,Rakan,Ornn,Vi,Taliyah,Zeri,Rell,5,Map 1 - Totals,Over Total Kills,over,32.5,kills,5d528216a693e18aee2e,won,1.83,0,0,33.0,28.58,33,1,1,HIGH
PRM,2025,2025-07-22 15:00:00,E WIE EINFACH E-SPORTS vs Berlin International Gaming,15.14,Blue,E WIE EINFACH E-SPORTS,Berlin International Gaming,Sion,Bel'Veth,Taliyah,Xayah,Renata Glasc,Shen,Vi,Orianna,Smolder,Alistar,9,Map 1 - Totals,Under Total Kills,under,32.5,kills,888719155e3b751c6ef2,won,1.83,0,0,23.0,30.12,23,1,1,HIGH
PRM,2025,2025-07-22 15:00:00,E WIE EINFACH E-SPORTS vs Berlin International Gaming,15.14,Blue,E WIE EINFACH E-SPORTS,Berlin International Gaming,Jax,Wukong,Twisted Fate,Varus,Braum,K'Sante,Viego,Ahri,Sivir,Rakan,6,Map 2 - Totals,Under Total Kills,under,32.5,kills,888719155e3b751c6ef2,won,1.83,0,0,30.0,28.53,30,1,2,HIGH
CD,2025,2025-07-22 17:00:00,Corinthians Esports vs Stellae Gaming,15.14,Blue,Corinthians Esports,Stellae Gaming,Gwen,Nocturne,Ahri,Miss Fortune,Nautilus,Jayce,Maokai,Taliyah,Ezreal,Rell,22,Map 1 - Totals,Under Total Kills,under,27.5,kills,78c3a250b7fe8309f63e,lost,1.83,0,0,28.0,31.05,28,0,1,HIGH
LPL,2025,2025-07-23 06:00:00,FunPlus Phoenix vs Top Esports,15.14,Blue,FunPlus Phoenix,Top Esports,K'Sante,Wukong,Annie,Senna,Alistar,Sion,Xin Zhao,Taliyah,Lucian,Braum,19,Map 1 - Totals,Under Total Kills,under,31.5,kills,19b56c47e99df1ef788c,won,1.83,0,0,29.0,32.93,29,0,1,HIGH
LPL,2025,2025-07-23 06:00:00,FunPlus Phoenix vs Top Esports,15.14,Blue,FunPlus Phoenix,Top Esports,Rumble,Nocturne,Orianna,Xayah,Rakan,Ornn,Trundle,Akali,Sivir,Karma,23,Map 2 - Totals,Under Total Kills,under,31.5,kills,19b56c47e99df1ef788c,won,1.83,0,0,30.0,31.37,30,0,2,HIGH
HLL,2025,2025-07-23 10:00:00,Gamespace Mediterranean College Esports vs Team Paradox,15.13,Blue,Gamespace Mediterranean College Esports,Team Paradox,Rumble,Skarner,Orianna,Ezreal,Rell,Jayce,Trundle,Annie,Varus,Alistar,11,Map 1 - Totals,Under Total Kills,under,36.5,kills,ed59c7154453b761a48a,won,1.83,0,0,25.0,31.9,25,1,1,HIGH
RL,2025,2025-07-23 12:00:00,Orbit Anonymo Esports vs DOCISK,15.14,Blue,Orbit Anonymo Esports,DOCISK,Dr. Mundo,Trundle,Aurora,Corki,Neeko,Sion,Ivern,Azir,Jhin,Rell,7,Map 1 - Totals,Over Total Kills,over,33.5,kills,c4fc67942e5a23e46879,lost,1.83,0,0,28.0,32.95,28,1,1,HIGH
RL,2025,2025-07-23 12:00:00,Orbit Anonymo Esports vs DOCISK,15.14,Blue,Orbit Anonymo Esports,DOCISK,Aatrox,Xin Zhao,Ambessa,Ziggs,Poppy,Renekton,Wukong,Viktor,Miss Fortune,Rakan,24,Map 2 - Totals,Over Total Kills,over,33.5,kills,c4fc67942e5a23e46879,won,1.83,0,0,51.0,43.97,51,0,2,HIGH
LVP SL,2025,2025-07-23 13:00:00,Veni Vidi Vici vs Guasones,15.13,Blue,Veni Vidi Vici,Guasones,Jayce,Vi,Orianna,Senna,Alistar,Gwen,Xin Zhao,Lux,Jhin,Bard,2,Map 1 - Totals,Under Total Kills,under,32.5,kills,bda0f53042ac3a1dd933,won,1.83,0,0,21.0,29.87,21,1,1,HIGH
NLC,2025,2025-07-23 15:00:00,DMG Esports vs Bulldog Esports,15.14,Blue,DMG Esports,Bulldog Esports,Ornn,Pantheon,Syndra,Caitlyn,Leona,Volibear,Xin Zhao,Hwei,Corki,Braum,27,Map 1 - Totals,Under Total Kills,under,33.5,kills,725f62e771a129cfaac7,lost,1.83,0,0,54.0,42.78,54,1,1,HIGH
NLC,2025,2025-07-23 16:00:00,Verdant vs Los Ratones,15.14,Blue,Verdant,Los Ratones,Sion,Nidalee,Azir,Kog'Maw,Braum,Aatrox,Maokai,Corki,Ziggs,Alistar,19,Map 1 - Totals,Under Total Kills,under,32.5,kills,5af618fc97080f11640f,won,1.83,0,0,32.0,54.87,32,1,1,HIGH
LCK,2025,2025-07-24 02:00:00,Dplus KIA Challengers vs OKSavingsBank BRION Challengers,15.14,Blue,Dplus KIA Challengers,OKSavingsBank BRION Challengers,Aurora,Wukong,Annie,Varus,Poppy,Rumble,Trundle,Viktor,Jhin,Rell,9,Map 1 - Totals,Over Total Kills,over,28.5,kills,823f0e9572711d336111,lost,1.83,0,0,22.0,37.12,22,1,1,HIGH
LCK,2025,2025-07-24 02:00:00,Dplus KIA Challengers vs OKSavingsBank BRION Challengers,15.14,Blue,Dplus KIA Challengers,OKSavingsBank BRION Challengers,K'Sante,Maokai,Azir,Xayah,Rakan,Ambessa,Jarvan IV,Ahri,Senna,Alistar,28,Map 2 - Totals,Over Total Kills,over,28.5,kills,823f0e9572711d336111,won,1.83,0,0,35.0,33.92,35,0,2,HIGH
LPL,2025,2025-07-24 06:00:00,JD Gaming vs Invictus Gaming,15.14,Blue,JD Gaming,Invictus Gaming,K'Sante,Wukong,Azir,Sivir,Alistar,Rumble,Trundle,Sylas,Senna,Braum,20,Map 1 - Totals,Over Total Kills,over,30.5,kills,b6c67b143c8fb51422ce,lost,1.83,0,0,22.0,26.47,22,0,1,HIGH
LPL,2025,2025-07-24 06:00:00,JD Gaming vs Invictus Gaming,15.14,Blue,JD Gaming,Invictus Gaming,Renekton,Naafiri,Annie,Varus,Rell,Aurora,Jarvan IV,Viktor,Jhin,Rakan,23,Map 2 - Totals,Over Total Kills,over,30.5,kills,b6c67b143c8fb51422ce,won,1.83,0,0,39.0,33.3,39,0,2,HIGH
LPL,2025,2025-07-24 08:00:00,ThunderTalk Gaming vs LNG Esports,15.14,Blue,ThunderTalk Gaming,LNG Esports,Sion,Xin Zhao,Taliyah,Sivir,Alistar,Ambessa,Jarvan IV,Aurora,Varus,Neeko,15,Map 1 - Totals,Under Total Kills,under,27.5,kills,991d25c687952b7b2fa3,lost,1.83,0,0,41.0,39.75,41,1,1,HIGH
LPL,2025,2025-07-24 08:00:00,ThunderTalk Gaming vs LNG Esports,15.14,Blue,ThunderTalk Gaming,LNG Esports,Rumble,Vi,Azir,Lucian,Braum,Ornn,Nocturne,Annie,Xayah,Rakan,17,Map 2 - Totals,Under Total Kills,under,27.5,kills,991d25c687952b7b2fa3,won,1.83,0,0,22.0,31.17,22,0,2,HIGH
NLC,2025,2025-07-24 13:00:00,Venomcrest Esports vs Rich Gang,15.14,Blue,Venomcrest Esports,Rich Gang,Rumble,Xin Zhao,Azir,Xayah,Rakan,K'Sante,Vi,Taliyah,Jhin,Leona,11,Map 1 - Totals,Under Total Kills,under,33.5,kills,1022852f3f64e53af0ce,lost,1.83,0,0,34.0,32.4,34,1,1,HIGH
EBL,2025,2025-07-24 14:00:00,SPIKE Syndicate vs Partizan Sangal,15.14,Blue,SPIKE Syndicate,Partizan Sangal,Renekton,Maokai,Viktor,Varus,Alistar,Ornn,Trundle,Aurora,Jhin,Nautilus,19,Map 1 - Totals,Under Total Kills,under,34.5,kills,0089d8602d36ab23bdba,won,1.83,0,0,27.0,37.72,27,0,1,HIGH
EBL,2025,2025-07-24 14:00:00,SPIKE Syndicate vs Partizan Sangal,15.14,Blue,SPIKE Syndicate,Partizan Sangal,K'Sante,Skarner,Azir,Zeri,Rakan,Gnar,Xin Zhao,Taliyah,Sivir,Neeko,16,Map 2 - Totals,Under Total Kills,under,34.5,kills,0089d8602d36ab23bdba,lost,1.83,0,0,36.0,36.18,36,1,2,HIGH
LVP SL,2025,2025-07-24 14:00:00,Los Heretics vs Barça eSports,15.13,Blue,Los Heretics,Barça eSports,Aatrox,Dr. Mundo,Ryze,Varus,Bard,Gnar,Maokai,Aurora,Ezreal,Leona,4,Map 1 - Totals,Under Total Kills,under,32.5,kills,47105528ee07317f93c1,won,1.83,0,0,18.0,30.55,18,1,1,HIGH
LIT,2025,2025-07-24 14:00:00,aNc Legends vs Colossal Gaming,15.14,Blue,aNc Legends,Colossal Gaming,Renekton,Vi,Annie,Kai'Sa,Neeko,Gragas,Xin Zhao,Galio,Sivir,Rell,23,Map 1 - Totals,Over Total Kills,over,27.5,kills,71e347a8795e68a337c0,lost,1.83,0,0,25.0,25.43,25,0,1,HIGH
NLC,2025,2025-07-24 16:00:00,NORD Esports vs Rich Gang,15.14,Blue,NORD Esports,Rich Gang,Gwen,Wukong,Taliyah,Smolder,Rell,Jax,Vi,Syndra,Xayah,Rakan,4,Map 1 - Totals,Under Total Kills,under,31.5,kills,336bb9f4c95e63bb3c31,won,1.83,0,0,21.0,31.28,21,1,1,HIGH
LVP SL,2025,2025-07-24 17:00:00,Veni Vidi Vici vs GiantX,15.13,Blue,Veni Vidi Vici,GiantX,Sion,Trundle,Syndra,Xayah,Rakan,Ambessa,Xin Zhao,Akali,Kai'Sa,Rell,24,Map 1 - Totals,Under Total Kills,under,32.5,kills,9f00acdb995c0473fc16,won,1.83,0,0,32.0,28.22,32,0,1,HIGH
NACL,2025,2025-07-24 19:00:00,Supernova vs Luminosity Gaming,15.14,Blue,Supernova,Luminosity Gaming,Rumble,Wukong,Viktor,Corki,Rakan,Galio,Trundle,Orianna,Lucian,Rell,20,Map 1 - Totals,Over Total Kills,over,27.5,kills,c90bd825519beedadae0,won,1.83,0,0,30.0,40.58,30,0,1,HIGH
NACL,2025,2025-07-24 20:00:00,Conviction vs Vancouver Impact,15.14,Blue,Conviction,Vancouver Impact,Gwen,Maokai,Corki,Jhin,Rakan,Gragas,Trundle,Cassiopeia,Varus,Karma,22,Map 1 - Totals,Under Total Kills,under,29.5,kills,aaf208d56c48aa5799e9,lost,1.83,0,0,32.0,31.35,32,0,1,HIGH
TCL,2025,2025-07-25 11:30:00,The Forbidden Five vs Beşiktaş Esports,15.14,Blue,The Forbidden Five,Beşiktaş Esports,Gwen,Sejuani,Yone,Ezreal,Rell,Rumble,Xin Zhao,Smolder,Jhin,Leona,10,Map 1 - Totals,Under Total Kills,under,29.5,kills,f17e903475a505e5d0e0,won,1.83,0,0,29.0,30.83,29,1,1,HIGH
RL,2025,2025-07-25 12:00:00,Forsaken vs DOCISK,15.14,Blue,Forsaken,DOCISK,Ambessa,Wukong,Aurora,Lucian,Nami,Gwen,Vi,Azir,Corki,Leona,9,Map 1 - Totals,Over Total Kills,over,32.5,kills,198d0783faee8b2a24c5,won,1.83,0,0,34.0,29.9,34,1,1,HIGH
RL,2025,2025-07-25 12:00:00,Forsaken vs DOCISK,15.14,Blue,Forsaken,DOCISK,Ornn,Zed,Ahri,Jhin,Neeko,Cho'Gath,Jarvan IV,Viktor,Sivir,Karma,23,Map 2 - Totals,Over Total Kills,over,32.5,kills,198d0783faee8b2a24c5,won,1.83,0,0,38.0,27.78,38,0,2,HIGH
LFL,2025,2025-07-25 13:00:00,Gentle Mates vs GameWard,15.14,Blue,Gentle Mates,GameWard,K'Sante,Trundle,Taliyah,Varus,Rell,Ambessa,Wukong,Syndra,Jhin,Nautilus,6,Map 1 - Totals,Under Total Kills,under,27.5,kills,243f39b48dcce5588f23,won,1.83,0,0,27.0,34.13,27,1,1,HIGH
LFL,2025,2025-07-25 13:00:00,Gentle Mates vs GameWard,15.14,Blue,Gentle Mates,GameWard,Sion,Lee Sin,LeBlanc,Kalista,Neeko,Cho'Gath,Xin Zhao,Orianna,Corki,Lulu,3,Map 2 - Totals,Under Total Kills,under,27.5,kills,243f39b48dcce5588f23,won,1.83,0,0,21.0,30.1,21,1,2,HIGH
LIT,2025,2025-07-25 13:00:00,Zena Esports vs Colossal Gaming,15.14,Blue,Zena Esports,Colossal Gaming,Sion,Wukong,Taliyah,Ezreal,Bard,K'Sante,Xin Zhao,Orianna,Jinx,Nautilus,16,Map 1 - Totals,Over Total Kills,over,28.5,kills,4c3ff81e6d4d02645fe2,won,1.83,0,0,40.0,29.32,40,1,1,HIGH
EBL,2025,2025-07-25 14:00:00,BeFive vs Crvena zvezda Esports,15.14,Blue,BeFive,Crvena zvezda Esports,Renekton,Nidalee,Azir,Xayah,Nautilus,Ornn,Trundle,Syndra,Miss Fortune,Rakan,15,Map 1 - Totals,Under Total Kills,under,35.5,kills,4e4d4d19f459bc1ea771,won,1.83,0,0,30.0,32.6,30,1,1,HIGH
EBL,2025,2025-07-25 14:00:00,BeFive vs Crvena zvezda Esports,15.14,Blue,BeFive,Crvena zvezda Esports,Ambessa,Vi,Akali,Kai'Sa,Neeko,Sett,Wukong,Orianna,Ezreal,Karma,21,Map 2 - Totals,Under Total Kills,under,35.5,kills,4e4d4d19f459bc1ea771,lost,1.83,0,0,50.0,32.83,50,1,2,HIGH
LIT,2025,2025-07-25 15:00:00,aNc Legends vs GMBLERS Esports,15.14,Blue,aNc Legends,GMBLERS Esports,Gwen,Xin Zhao,Aurora,Aphelios,Nautilus,Jayce,Poppy,Taliyah,Kai'Sa,Leona,7,Map 1 - Totals,Over Total Kills,over,27.5,kills,ac15d816a119e2612b6c,lost,1.83,0,0,25.0,29.1,25,1,1,HIGH
NACL,2025,2025-07-25 20:00:00,Conviction vs Winthrop University,15.14,Blue,Conviction,Winthrop University,Renekton,Vi,Taliyah,Jhin,Rakan,Sion,Xin Zhao,Azir,Vayne,Karma,16,Map 1 - Totals,Under Total Kills,under,30.5,kills,9ba1ca1b724fa1207b28,won,1.83,0,0,29.0,32.27,29,0,1,HIGH
NACL,2025,2025-07-25 22:00:00,Citadel Gaming vs CCG Esports,15.14,Blue,Citadel Gaming,CCG Esports,Rumble,Trundle,Ryze,Miss Fortune,Neeko,Galio,Wukong,Taliyah,Jhin,Karma,20,Map 1 - Totals,Under Total Kills,under,31.5,kills,a8b4a1cd8cbdeaa20697,won,1.83,0,0,26.0,28.53,26,0,1,HIGH
LPL,2025,2025-07-26 04:00:00,Ninjas in Pyjamas vs Ultra Prime,15.14,Blue,Ninjas in Pyjamas,Ultra Prime,Gwen,Xin Zhao,Taliyah,Kai'Sa,Rell,Rumble,Wukong,Ryze,Ezreal,Braum,3,Map 1 - Totals,Under Total Kills,under,28.5,kills,47aebd80bd98291e2023,won,1.83,0,0,18.0,26.85,18,1,1,HIGH
LPL,2025,2025-07-26 04:00:00,Ninjas in Pyjamas vs Ultra Prime,15.14,Blue,Ninjas in Pyjamas,Ultra Prime,Sion,Jarvan IV,Ekko,Varus,Alistar,Yorick,Lee Sin,Viktor,Jhin,Rakan,1,Map 2 - Totals,Under Total Kills,under,28.5,kills,47aebd80bd98291e2023,won,1.83,0,0,11.0,27.05,11,1,2,HIGH
HLL,2025,2025-07-26 10:00:00,Team Insidious vs Team Paradox,15.13,Blue,Team Insidious,Team Paradox,Gwen,Xin Zhao,Taliyah,Corki,Poppy,Ambessa,Jarvan IV,Orianna,Senna,Rell,18,Map 1 - Totals,Under Total Kills,under,36.5,kills,1a2d22276c01e5baeb2c,lost,1.83,0,0,43.0,35.58,43,1,1,HIGH
HLL,2025,2025-07-26 10:00:00,Team Insidious vs Team Paradox,15.13,Blue,Team Insidious,Team Paradox,Jayce,Sejuani,Aurora,Jhin,Leona,Rumble,Maokai,Yone,Ezreal,Nautilus,25,Map 2 - Totals,Under Total Kills,under,36.5,kills,1a2d22276c01e5baeb2c,lost,1.83,0,0,40.0,35.92,40,0,2,HIGH
LCP,2025,2025-07-27 06:30:00,Chiefs Esports Club vs Fukuoka SoftBank HAWKS gaming,15.14,Blue,Chiefs Esports Club,Fukuoka SoftBank HAWKS gaming,K'Sante,Wukong,Aurora,Varus,Rell,Sion,Trundle,Ryze,Lucian,Braum,3,Map 1 - Totals,Under Total Kills,under,26.5,kills,ec921ef8120fa444e237,won,1.83,0,0,19.0,29.33,19,1,1,HIGH
LCP,2025,2025-07-27 06:30:00,Chiefs Esports Club vs Fukuoka SoftBank HAWKS gaming,15.14,Blue,Chiefs Esports Club,Fukuoka SoftBank HAWKS gaming,Jax,Ivern,Azir,Xayah,Rakan,Ambessa,Maokai,Yone,Sivir,Nautilus,4,Map 2 - Totals,Under Total Kills,under,26.5,kills,ec921ef8120fa444e237,won,1.83,0,0,24.0,33.73,24,1,2,HIGH
PRM,2025,2025-07-27 13:00:00,Austrian Force willhaben vs ROSSMANN Centaurs,15.14,Blue,Austrian Force willhaben,ROSSMANN Centaurs,Rumble,Wukong,Azir,Xayah,Rakan,Gwen,Sejuani,Yone,Senna,Leona,15,Map 1 - Totals,Over Total Kills,over,30.5,kills,4120f28af43f85f9cd26,won,1.83,0,0,32.0,37.33,32,0,1,HIGH
PRM,2025,2025-07-27 13:00:00,Austrian Force willhaben vs ROSSMANN Centaurs,15.14,Blue,Austrian Force willhaben,ROSSMANN Centaurs,Sion,Nocturne,Orianna,Sivir,Alistar,Aatrox,Vi,Ahri,Smolder,Nautilus,15,Map 2 - Totals,Over Total Kills,over,30.5,kills,4120f28af43f85f9cd26,won,1.83,0,0,48.0,34.05,48,1,2,HIGH
LTA N,2025,2025-07-27 17:00:00,Team Liquid vs 100 Thieves,15.14,Blue,Team Liquid,100 Thieves,Rumble,Vi,Taliyah,Kai'Sa,Rell,Sion,Trundle,Orianna,Lucian,Braum,10,Map 1 - Totals,Over Total Kills,over,28.5,kills,f5745e078003952a921f,lost,1.83,0,0,24.0,31.52,24,1,1,HIGH
LTA N,2025,2025-07-27 17:00:00,Team Liquid vs 100 Thieves,15.14,Blue,Team Liquid,100 Thieves,K'Sante,Jarvan IV,Viktor,Senna,Nautilus,Renekton,Wukong,Annie,Ezreal,Alistar,28,Map 2 - Totals,Over Total Kills,over,28.5,kills,f5745e078003952a921f,won,1.83,0,0,37.0,34.62,37,0,2,HIGH
PCS,2025,2025-07-28 06:00:00,Frank Esports vs CTBC Flying Oyster Academy,15.14,Blue,Frank Esports,CTBC Flying Oyster Academy,Jayce,Jarvan IV,Annie,Varus,Elise,Sion,Trundle,Azir,Sivir,Braum,16,Map 1 - Totals,Under Total Kills,under,36.5,kills,0a6049be06295f457a81,won,1.83,0,0,23.0,29.37,23,0,1,HIGH
PCS,2025,2025-07-28 06:00:00,Frank Esports vs CTBC Flying Oyster Academy,15.14,Blue,Frank Esports,CTBC Flying Oyster Academy,Gwen,Wukong,Ahri,Ezreal,Alistar,Jax,Skarner,Ryze,Kai'Sa,Renata Glasc,9,Map 2 - Totals,Under Total Kills,under,36.5,kills,0a6049be06295f457a81,won,1.83,0,0,33.0,43.58,33,1,2,HIGH
LPL,2025,2025-07-28 08:00:00,Top Esports vs JD Gaming,15.14,Blue,Top Esports,JD Gaming,Ornn,Trundle,Azir,Sivir,Alistar,Rumble,Maokai,Yone,Zeri,Rakan,4,Map 1 - Totals,Over Total Kills,over,28.5,kills,d9834d1111620d7872a9,lost,1.83,0,0,25.0,28.8,25,1,1,HIGH
LPL,2025,2025-07-28 08:00:00,Top Esports vs JD Gaming,15.14,Blue,Top Esports,JD Gaming,K'Sante,Jarvan IV,Taliyah,Aphelios,Nautilus,Gnar,Xin Zhao,Viktor,Kai'Sa,Rell,20,Map 2 - Totals,Over Total Kills,over,28.5,kills,d9834d1111620d7872a9,lost,1.83,0,0,27.0,28.43,27,0,2,HIGH
CD,2025,2025-07-28 17:00:00,Flamengo MDL vs Los Grandes,15.14,Blue,Flamengo MDL,Los Grandes,Rumble,Wukong,Sylas,Xayah,Rakan,K'Sante,Vi,Ahri,Kai'Sa,Rell,10,Map 1 - Totals,Under Total Kills,under,31.5,kills,0d08fef381958bf0922e,won,1.83,0,0,31.0,31.87,31,1,1,HIGH
CD,2025,2025-07-28 18:00:00,Rise Gaming vs Corinthians Esports,15.14,Blue,Rise Gaming,Corinthians Esports,Rumble,Trundle,Taliyah,Sivir,Rakan,Ambessa,Vi,Ahri,Jinx,Nautilus,17,Map 1 - Totals,Under Total Kills,under,30.5,kills,c86ff1238ccd833c6378,won,1.9,0,0,29.0,30.47,29,0,1,HIGH
CD,2025,2025-07-28 19:00:00,Stellae Gaming vs KaBuM! Ilha das Lendas,15.14,Blue,Stellae Gaming,KaBuM! Ilha das Lendas,Gwen,Jarvan IV,Azir,Sivir,Bard,Jax,Evelynn,Orianna,Jhin,Alistar,8,Map 1 - Totals,Under Total Kills,under,30.5,kills,db16c8099fc7104295f7,won,1.8,0,0,29.0,26.85,29,1,1,HIGH
CD,2025,2025-07-28 20:00:00,Vivo Keyd Stars Academy vs e-Champ Gaming,15.14,Blue,Vivo Keyd Stars Academy,e-Champ Gaming,Gwen,Pantheon,Viktor,Jhin,Rell,Rumble,Xin Zhao,Ryze,Varus,Alistar,25,Map 1 - Totals,Over Total Kills,over,31.5,kills,3d58dde1bfeba5e213df,won,1.83,0,0,32.0,28.37,32,0,1,HIGH
CD,2025,2025-07-28 21:00:00,RED Academy vs Alpha7 Esports,15.14,Blue,RED Academy,Alpha7 Esports,Ambessa,Ivern,Aurora,Sivir,Alistar,Aatrox,Trundle,Orianna,Kai'Sa,Poppy,21,Map 1 - Totals,Under Total Kills,under,31.5,kills,67ff5aadc406d4898578,won,1.83,0,0,31.0,35.15,31,0,1,HIGH
LCK,2025,2025-07-29 05:00:00,OKSavingsBank BRION Challengers vs Nongshim Esports Academy,15.14,Blue,OKSavingsBank BRION Challengers,Nongshim Esports Academy,Ambessa,Vi,Ahri,Corki,Rell,Renekton,Xin Zhao,Taliyah,Lucian,Braum,16,Map 1 - Totals,Over Total Kills,over,28.5,kills,9cfa98a88bf530b666a7,lost,1.83,0,0,23.0,33.42,23,0,1,HIGH
LCK,2025,2025-07-29 05:00:00,OKSavingsBank BRION Challengers vs Nongshim Esports Academy,15.14,Blue,OKSavingsBank BRION Challengers,Nongshim Esports Academy,Gwen,Nocturne,Twisted Fate,Kai'Sa,Alistar,Rumble,Trundle,Aurora,Jhin,Bard,24,Map 2 - Totals,Over Total Kills,over,28.5,kills,9cfa98a88bf530b666a7,won,1.83,0,0,31.0,28.98,31,0,2,HIGH
LPL,2025,2025-07-29 08:00:00,FunPlus Phoenix vs Invictus Gaming,15.14,Blue,FunPlus Phoenix,Invictus Gaming,Gwen,Wukong,Taliyah,Corki,Rell,Aurora,Vi,Orianna,Senna,Alistar,17,Map 1 - Totals,Over Total Kills,over,28.5,kills,6570c6f3f21655d97519,won,1.83,0,0,43.0,42.58,43,1,1,HIGH
LPL,2025,2025-07-29 08:00:00,FunPlus Phoenix vs Invictus Gaming,15.14,Blue,FunPlus Phoenix,Invictus Gaming,Ornn,Poppy,Viktor,Ezreal,Karma,Rumble,Xin Zhao,Sylas,Lucian,Thresh,16,Map 2 - Totals,Over Total Kills,over,28.5,kills,6570c6f3f21655d97519,won,1.83,0,0,36.0,38.27,36,0,2,HIGH
RL,2025,2025-07-29 15:00:00,Zero Tenacity vs DOCISK,15.14,Blue,Zero Tenacity,DOCISK,Naafiri,Trundle,Aurora,Lucian,Nautilus,Sion,Poppy,Azir,Varus,Renata Glasc,29,Map 1 - Totals,Over Total Kills,over,29.5,kills,a597d935ea773403b1a2,won,1.83,0,0,50.0,45.92,50,0,1,HIGH
RL,2025,2025-07-29 15:00:00,Zero Tenacity vs DOCISK,15.14,Blue,Zero Tenacity,DOCISK,Jax,Wukong,Ryze,Ezreal,Alistar,Ambessa,Gwen,Ahri,Corki,Rakan,19,Map 2 - Totals,Over Total Kills,over,29.5,kills,a597d935ea773403b1a2,won,1.83,0,0,42.0,34.7,42,1,2,HIGH
LVP SL,2025,2025-07-29 17:00:00,Veni Vidi Vici vs ZETA,15.14,Blue,Veni Vidi Vici,ZETA,Gwen,Jarvan IV,Azir,Kai'Sa,Rell,Jayce,Vi,Hwei,Smolder,Poppy,23,Map 1 - Totals,Over Total Kills,over,30.5,kills,689f7affb3dc1c01c986,won,1.83,0,0,36.0,33.08,32,0,1,HIGH
