league,year,date,game,patch,side,t1,t2,top_t1,jung_t1,mid_t1,adc_t1,sup_t1,top_t2,jung_t2,mid_t2,adc_t2,sup_t2,kills_t2,market_name,selection_line,bet_line,bet_value,bet_type,event_id,bet_status,house_odds,home_score,away_score,actual_value,gamelength,total_kills,result_t1,matched_map,matching_score
LPL,2025,2025-05-27 06:00:00,Weibo Gaming vs ThunderTalk Gaming,15.1,Blue,Weibo Gaming,ThunderTalk Gaming,Sion,Xin Zhao,Taliyah,Xayah,Rakan,Yorick,Pantheon,Ahri,Ezreal,Alistar,5,Map 1 - Totals,Under Total Kills,under,29.5,kills,657c4006ba608ea90146,won,1.83,0,0,27.0,37.42,27,1,1,HIGH
LPL,2025,2025-05-27 06:00:00,Weibo Gaming vs ThunderTalk Gaming,15.1,Blue,Weibo Gaming,ThunderTalk Gaming,Renekton,Naafiri,Sylas,Lucian,Nami,K'Sante,Wukong,Galio,Miss Fortune,Neeko,22,Map 2 - Totals,Under Total Kills,under,29.5,kills,657c4006ba608ea90146,won,1.83,0,0,27.0,28.53,27,0,2,HIGH
VCS,2025,2025-05-27 07:00:00,Saigon Secret vs GenZ Gaming,15.1,Blue,Saigon Secret,GenZ Gaming,Ambessa,Xin Zhao,Taliyah,Varus,Nautilus,Jayce,Naafiri,Sylas,Jhin,Neeko,15,Map 1 - Totals,Over Total Kills,over,35.5,kills,5c12fa8fc50445605758,won,1.83,0,0,52.0,29.12,52,1,1,HIGH
LFL,2025,2025-05-28 13:00:00,Gentle Mates vs BK ROG Esports,15.1,Blue,Gentle Mates,BK ROG Esports,Rumble,Xin Zhao,Ahri,Ezreal,Rakan,Ambessa,Naafiri,Galio,Senna,Nautilus,7,Map 1 - Totals,Under Total Kills,under,28.5,kills,8b22f0b8ced905e734f3,won,1.83,0,0,19.0,45.42,19,1,1,HIGH
LFL,2025,2025-05-28 13:00:00,Gentle Mates vs BK ROG Esports,15.1,Blue,Gentle Mates,BK ROG Esports,Gwen,Maokai,Corki,Lucian,Braum,Kennen,Wukong,Orianna,Miss Fortune,Rell,1,Map 2 - Totals,Under Total Kills,under,28.5,kills,8b22f0b8ced905e734f3,won,1.83,0,0,13.0,30.02,13,1,2,HIGH
EBL,2025,2025-05-28 14:00:00,Partizan Sangal vs SPIKE Syndicate,15.1,Blue,Partizan Sangal,SPIKE Syndicate,Sion,Xin Zhao,Aurora,Varus,Rakan,Aatrox,Trundle,Ahri,Jhin,Alistar,18,Map 1 - Totals,Under Total Kills,under,33.5,kills,cc9f0f49642d4ee2f7dd,won,1.83,0,0,29.0,33.48,29,0,1,HIGH
EBL,2025,2025-05-28 14:00:00,Partizan Sangal vs SPIKE Syndicate,15.1,Blue,Partizan Sangal,SPIKE Syndicate,Gnar,Sejuani,Azir,Miss Fortune,Leona,Ambessa,Maokai,Taliyah,Kai'Sa,Rell,6,Map 2 - Totals,Under Total Kills,under,33.5,kills,cc9f0f49642d4ee2f7dd,won,1.83,0,0,29.0,25.57,29,1,2,HIGH
VCS,2025,2025-05-29 10:00:00,GenZ Gaming vs SN CyberCore Esports,15.1,Blue,GenZ Gaming,SN CyberCore Esports,Gnar,Pantheon,Ahri,Varus,Alistar,Gwen,Xin Zhao,Taliyah,Miss Fortune,Rell,19,Map 1 - Totals,Over Total Kills,over,35.5,kills,0620d7df8c7da61ad3f7,lost,1.83,0,0,25.0,26.6,25,0,1,HIGH
VCS,2025,2025-05-29 10:00:00,GenZ Gaming vs SN CyberCore Esports,15.1,Blue,GenZ Gaming,SN CyberCore Esports,Rumble,Wukong,Corki,Senna,Braum,Galio,Kindred,Ryze,Xayah,Nautilus,16,Map 2 - Totals,Over Total Kills,over,35.5,kills,0620d7df8c7da61ad3f7,lost,1.83,0,0,31.0,39.97,31,0,2,HIGH
TCL,2025,2025-05-30 12:00:00,Misa Esports vs BoostGate Esports,15.1,Blue,Misa Esports,BoostGate Esports,Aatrox,Xin Zhao,Taliyah,Senna,Nautilus,Gwen,Zed,Galio,Corki,Rell,31,Map 1 - Totals,Over Total Kills,over,36.5,kills,28f017f04654ca3429f3,won,1.83,0,0,58.0,40.95,58,0,1,HIGH
TCL,2025,2025-05-30 12:00:00,Misa Esports vs BoostGate Esports,15.1,Blue,Misa Esports,BoostGate Esports,Rumble,Naafiri,Azir,Kai'Sa,Braum,Ornn,Viego,Ahri,Ezreal,Leona,26,Map 2 - Totals,Over Total Kills,over,36.5,kills,28f017f04654ca3429f3,lost,1.83,0,0,30.0,26.95,30,0,2,HIGH
LPL,2025,2025-05-31 03:00:00,Top Esports vs FunPlus Phoenix,15.11,Blue,Top Esports,FunPlus Phoenix,Ornn,Vi,Taliyah,Lucian,Nami,Sion,Pantheon,Sylas,Kalista,Renata Glasc,20,Map 1 - Totals,Under Total Kills,under,32.5,kills,8618f21aa1c57b54fba2,won,1.83,0,0,31.0,26.97,31,0,1,HIGH
LPL,2025,2025-05-31 03:00:00,Top Esports vs FunPlus Phoenix,15.11,Blue,Top Esports,FunPlus Phoenix,Yorick,Lee Sin,Ryze,Xayah,Rakan,Jax,Xin Zhao,Akali,Corki,Nautilus,10,Map 2 - Totals,Under Total Kills,under,32.5,kills,8618f21aa1c57b54fba2,won,1.83,0,0,27.0,29.5,27,1,2,HIGH
LCP,2025,2025-05-31 09:00:00,Team Secret Whales vs TALON,15.1,Blue,Team Secret Whales,TALON,Renekton,Pantheon,Ahri,Xayah,Rakan,Yorick,Skarner,Sylas,Senna,Alistar,13,Map 1 - Totals,Under Total Kills,under,25.5,kills,f9ae7620ec4b832491c6,won,1.83,0,0,22.0,33.68,22,0,1,HIGH
LCP,2025,2025-05-31 09:00:00,Team Secret Whales vs TALON,15.1,Blue,Team Secret Whales,TALON,Rumble,Maokai,Corki,Lucian,Nami,Gwen,Wukong,Ryze,Kalista,Neeko,3,Map 2 - Totals,Under Total Kills,under,25.5,kills,f9ae7620ec4b832491c6,won,1.83,0,0,19.0,28.03,19,1,2,HIGH
CD,2025,2025-06-02 17:00:00,RED Academy vs Vivo Keyd Stars Academy,15.11,Blue,RED Academy,Vivo Keyd Stars Academy,Ambessa,Xin Zhao,Ahri,Ezreal,Braum,Camille,Vi,Taliyah,Senna,Nautilus,5,Map 1 - Totals,Over Total Kills,over,29.5,kills,75fff14b49f6369e1915,lost,1.83,0,0,25.0,28.38,25,1,1,HIGH
