league,t1,t2,top_t1,jung_t1,mid_t1,adc_t1,sup_t1,top_t2,jung_t2,mid_t2,adc_t2,sup_t2,total_kills,bet_value
LCK,OKSavingsBank BRION Challengers,DN Freecs Challengers,K'Sante,Xin Zhao,Viktor,Lucian,Braum,Sion,Jarvan IV,Ryze,Xayah,Rakan,28,29.5
LCK,Nongshim RedForce,Hanwha Life Esports,Gwen,Xin Zhao,Ryze,Corki,Rell,Aurora,Wukong,Orianna,Lucian,Braum,30,28.5
LCK,Nongshim RedForce,Hanwha Life Esports,Sylas,Trundle,Azir,Sivir,Leona,Rumble,Sejuani,Yone,Kai'Sa,Bard,39,28.5
LPL,Weibo Gaming,Bilibili Gaming,Sion,Xin Zhao,Orianna,Corki,Rell,Ambessa,Wukong,Taliyah,Xayah,Rakan,43,27.5
LPL,Weibo Gaming,Bilibili Gaming,Rumble,Nocturne,Azir,Jhin,Leona,Ornn,Jarvan IV,Ziggs,Varus,Nautilus,28,27.5
NLC,Rich Gang,DMG Esports,K'Sante,Wukong,Taliyah,Ezreal,Leona,Yorick,Trundle,Azir,Jhin,Alistar,20,32.5
NLC,Rich Gang,DMG Esports,Rumble,Vi,Ahri,Sivir,Nautilus,Sion,Jarvan IV,Aurora,Varus,Rell,36,32.5
LFL,BK ROG Esports,GameWard,Aatrox,Trundle,Azir,Corki,Pyke,Yorick,Maokai,Ziggs,Jhin,Soraka,24,26.5
LFL,BK ROG Esports,GameWard,Gragas,Wukong,Ryze,Senna,Nautilus,Ambessa,Xin Zhao,Akali,Ezreal,Rell,25,26.5
ROL,mCon esports,Senshi eSports,Fiora,Maokai,Ziggs,Corki,Neeko,Gwen,Wukong,Ahri,Varus,Bard,32,35.5
ROL,mCon esports,Senshi eSports,Renekton,Viego,Azir,Jhin,Rell,Jax,Trundle,Taliyah,Sivir,Leona,50,35.5
ROL,ZennIT,A One Man Army,Shen,Wukong,Aurora,Tristana,Leona,Ambessa,Xin Zhao,Viktor,Corki,Nautilus,31,31.5
ROL,ZennIT,A One Man Army,Rumble,Maokai,Smolder,Sivir,Soraka,Sion,Viego,Yone,Ziggs,Alistar,18,31.5
NLC,Verdant,Venomcrest Esports,Gwen,Xin Zhao,Taliyah,Senna,Rell,Gragas,Wukong,Galio,Sivir,Taric,19,32.5
NLC,Verdant,Venomcrest Esports,Aurora,Vi,Akali,Corki,Alistar,Ambessa,Sejuani,Orianna,Jhin,Rakan,27,32.5
NACL,Dorado Gaming,Winthrop University,Aurora,Jarvan IV,Taliyah,Xayah,Leona,Ambessa,Xin Zhao,Azir,Kai'Sa,Rell,49,28.5
NACL,Vancouver Impact,CCG Esports,K'Sante,Nocturne,Orianna,Lucian,Rell,Rumble,Trundle,Taliyah,Yunara,Thresh,48,28.5
LJL,Burning Core Toyama,Yang Yang Gaming,K'Sante,Zed,Aurora,Xayah,Alistar,Rumble,Sejuani,Irelia,Lucian,Rell,36,35.5
LJL,Burning Core Toyama,Yang Yang Gaming,Sion,Xin Zhao,Renekton,Hwei,Rakan,Fiora,Diana,Yasuo,Seraphine,Nami,45,35.5
LCK,Dplus KIA,DN Freecs,Sion,Vi,Taliyah,Varus,Karma,Cho'Gath,Poppy,Azir,Sivir,Rell,29,25.5
LCK,Dplus KIA,DN Freecs,Rumble,Trundle,Viktor,Lucian,Braum,Aurora,Zed,Ryze,Senna,Galio,33,25.5
LPL,Invictus Gaming,Weibo Gaming,Sion,Pantheon,Orianna,Kai'Sa,Rell,Ambessa,Xin Zhao,Taliyah,Sivir,Alistar,25,28.5
LPL,Invictus Gaming,Weibo Gaming,Gwen,Vi,Viktor,Kalista,Renata Glasc,Aurora,Maokai,Yone,Xayah,Rakan,41,28.5
TCL,ULF Esports,The Forbidden Five,Gwen,Nocturne,Orianna,Lucian,Braum,Ambessa,Trundle,Annie,Varus,Bard,29,32.5
TCL,Papara SuperMassive,Beşiktaş Esports,Rumble,Maokai,Yone,Ezreal,Nautilus,Gwen,Xin Zhao,Taliyah,Jhin,Rell,40,31.5
LFL,Gentle Mates,Galions,Sion,Trundle,Azir,Senna,Nautilus,Ambessa,Wukong,Aurora,Lucian,Rell,30,28.5
LFL,Gentle Mates,Galions,K'Sante,Xin Zhao,Orianna,Ezreal,Karma,Ornn,Skarner,Ryze,Kai'Sa,Alistar,35,28.5
NACL,Winthrop University,CCG Esports,Camille,Xin Zhao,Ahri,Varus,Rakan,Rumble,Jarvan IV,Orianna,Jhin,Alistar,45,29.5
LCK,T1,Hanwha Life Esports,Gwen,Jarvan IV,Galio,Jhin,Bard,Ambessa,Wukong,Orianna,Lucian,Rakan,21,30.5
LCK,T1,Hanwha Life Esports,Aatrox,Maokai,Azir,Senna,Alistar,K'Sante,Trundle,Taliyah,Sivir,Neeko,40,30.5
LPL,ThunderTalk Gaming,LGD Gaming,Galio,Trundle,Aurora,Kai'Sa,Alistar,Rumble,Maokai,Yone,Jhin,Rakan,26,28.5
LPL,ThunderTalk Gaming,LGD Gaming,Poppy,Xin Zhao,Orianna,Miss Fortune,Nautilus,Ambessa,Wukong,Ryze,Caitlyn,Braum,35,28.5
LCK,BNK FEARX,DRX,Aatrox,Nocturne,Orianna,Varus,Rell,Rumble,Trundle,Ahri,Jhin,Alistar,44,26.5
LCK,BNK FEARX,DRX,Renekton,Xin Zhao,Viktor,Senna,Nautilus,K'Sante,Vi,Ryze,Corki,Neeko,49,26.5
LPL,LNG Esports,Ultra Prime,Rumble,Viego,Taliyah,Senna,Nautilus,Gwen,Wukong,Annie,Smolder,Braum,30,25.5
LPL,LNG Esports,Ultra Prime,Gragas,Trundle,Viktor,Lucian,Nami,Renekton,Vi,Orianna,Xayah,Rakan,27,25.5
LEC,Team Heretics,Fnatic,K'Sante,Nocturne,Taliyah,Yunara,Rell,Rumble,Wukong,Orianna,Kai'Sa,Alistar,25,28.5
LEC,Team Heretics,Fnatic,Camille,Sejuani,Ryze,Aphelios,Thresh,Ambessa,Pantheon,Annie,Lucian,Braum,29,28.5
LCK,DN Freecs,OKSavingsBank BRION,Rumble,Trundle,Ryze,Corki,Rell,Aurora,Wukong,Cassiopeia,Varus,Poppy,21,24.5
LCK,DN Freecs,OKSavingsBank BRION,Sion,Xin Zhao,Azir,Senna,Nautilus,Cho'Gath,Maokai,Yone,Kai'Sa,Neeko,45,24.5
LPL,LNG Esports,EDward Gaming,Gwen,Trundle,Taliyah,Senna,Braum,Aurora,Wukong,Annie,Corki,Alistar,22,25.5
LPL,LNG Esports,EDward Gaming,Renekton,Pantheon,Orianna,Jhin,Rell,K'Sante,Xin Zhao,Viktor,Varus,Poppy,26,25.5
LCP,GAM Esports,Team Secret Whales,Ornn,Nocturne,Orianna,Kai'Sa,Poppy,Rumble,Trundle,Azir,Sivir,Alistar,18,25.5
LTA S,Leviatan,Vivo Keyd Stars,Gwen,Trundle,Ryze,Senna,Nautilus,Jax,Wukong,Orianna,Corki,Rell,31,25.5
LTA S,Leviatan,Vivo Keyd Stars,Ambessa,Vi,Akali,Sivir,Neeko,Rumble,Xin Zhao,Sylas,Jhin,Alistar,36,25.5
LEC,Team BDS,SK Gaming,Aurora,Wukong,Sylas,Jinx,Rell,Rumble,Trundle,Azir,Corki,Nautilus,20,29.5
LEC,Team BDS,SK Gaming,Ambessa,Pantheon,Ryze,Kai'Sa,Leona,Jayce,Sejuani,Viktor,Aphelios,Braum,44,29.5
LEC,GiantX,Karmine Corp,Gwen,Trundle,Orianna,Lucian,Alistar,Jax,Jarvan IV,Ryze,Ezreal,Neeko,35,28.5
LEC,GiantX,Karmine Corp,Sion,Xin Zhao,Annie,Jinx,Rell,K'Sante,Pantheon,Aurora,Aphelios,Thresh,24,28.5
LTA S,LOUD,RED Canids,Renekton,Xin Zhao,Orianna,Xayah,Rakan,Yorick,Wukong,Taliyah,Ezreal,Bard,22,27.5
LTA S,LOUD,RED Canids,Ambessa,Volibear,Aurora,Kai'Sa,Rell,Aatrox,Vi,Annie,Senna,Alistar,13,27.5
LCK,KT Rolster Challengers,Gen.G Global Academy,Gwen,Xin Zhao,Annie,Jhin,Neeko,Ambessa,Nocturne,Galio,Varus,Nautilus,26,31.5
LCK,KT Rolster Challengers,Gen.G Global Academy,Rumble,Jarvan IV,Ahri,Jinx,Thresh,Ornn,Kindred,Taliyah,Yunara,Braum,19,31.5
LEC,SK Gaming,Fnatic,Gwen,Pantheon,Ryze,Kai'Sa,Nautilus,Rumble,Wukong,Orianna,Yunara,Braum,18,29.5
LEC,SK Gaming,Fnatic,K'Sante,Xin Zhao,Taliyah,Lucian,Rakan,Jayce,Maokai,Yone,Ezreal,Bard,20,29.5
LEC,GiantX,Team Vitality,Ambessa,Sejuani,Azir,Corki,Rell,K'Sante,Maokai,Ziggs,Lucian,Braum,26,30.5
LEC,GiantX,Team Vitality,Ornn,Trundle,Viktor,Jhin,Bard,Rumble,Wukong,Orianna,Sivir,Rakan,17,30.5
LCK,DN Freecs Challengers,Hanwha Life Esports Challengers,Rumble,Jarvan IV,Azir,Jhin,Poppy,Sion,Wukong,Annie,Kai'Sa,Alistar,22,30.5
LCK,DN Freecs Challengers,Hanwha Life Esports Challengers,Ambessa,Lee Sin,Taliyah,Xayah,Rakan,Renekton,Xin Zhao,Ahri,Sivir,Bard,27,30.5
LPL,Top Esports,Anyone's Legend,Gwen,Skarner,Azir,Xayah,Rakan,Rumble,Pantheon,Annie,Yunara,Rell,34,30.5
LPL,Top Esports,Anyone's Legend,Sion,Wukong,Orianna,Kai'Sa,Nautilus,Cho'Gath,Xin Zhao,Viktor,Sivir,Alistar,32,30.5
LVP SL,Los Heretics,UCAM Esports,Aurora,Xin Zhao,Azir,Jhin,Nautilus,Rumble,Wukong,Syndra,Ezreal,Leona,30,27.5
CD,e-Champ Gaming,KaBuM! Ilha das Lendas,Gwen,Jarvan IV,Azir,Sivir,Poppy,Jax,Sejuani,Yone,Ziggs,Leona,28,31.5
CD,Rise Gaming,Stellae Gaming,Ornn,Naafiri,Taliyah,Lucian,Nautilus,Rumble,Trundle,Ahri,Kai'Sa,Pyke,28,31.5
LCK,Hanwha Life Esports,Nongshim RedForce,Rumble,Wukong,Orianna,Xayah,Rakan,Gwen,Xin Zhao,Annie,Yunara,Lulu,32,29.5
LCK,Hanwha Life Esports,Nongshim RedForce,Jayce,Nocturne,Ryze,Sivir,Shen,K'Sante,Jarvan IV,Taliyah,Kai'Sa,Neeko,35,29.5
LPL,Bilibili Gaming,JD Gaming,Ornn,Trundle,Galio,Corki,Rell,Rumble,Wukong,Taliyah,Yunara,Renata Glasc,24,30.5
LPL,Bilibili Gaming,JD Gaming,Renekton,Sejuani,Azir,Kai'Sa,Neeko,K'Sante,Skarner,Ziggs,Xayah,Rakan,24,30.5
RL,Zero Tenacity,Back2TheGame,Ornn,Trundle,Viktor,Yunara,Karma,Yone,Wukong,Orianna,Kai'Sa,Rakan,29,34.5
RL,Zero Tenacity,Back2TheGame,Gwen,Vi,Annie,Sivir,Alistar,Jax,Sejuani,Aurora,Ezreal,Leona,34,34.5
LFL,Joblife,Ici Japon Corp. Esport,K'Sante,Xin Zhao,Orianna,Ezreal,Nautilus,Rumble,Wukong,Viktor,Kai'Sa,Rell,21,31.5
LFL,Joblife,Ici Japon Corp. Esport,Sion,Nocturne,Taliyah,Xayah,Rakan,Aatrox,Trundle,Annie,Corki,Bard,34,31.5
NACL,Dorado Gaming,Blue Otter,Rumble,Xin Zhao,Taliyah,Corki,Rakan,Aurora,Jarvan IV,Ziggs,Kai'Sa,Alistar,36,30.5
NACL,Conviction,CCG Esports,Gwen,Pantheon,Taliyah,Vayne,Braum,K'Sante,Trundle,Syndra,Kai'Sa,Neeko,33,33.5
NACL,Winthrop University,Luminosity Gaming,Gnar,Wukong,Galio,Lucian,Milio,Sion,Vi,Ahri,Kai'Sa,Neeko,33,32.5
LCK,Gen.G,T1,Gwen,Wukong,Annie,Sivir,Rell,Aurora,Trundle,Ryze,Jhin,Bard,21,30.5
LCK,Gen.G,T1,Ambessa,Xin Zhao,Galio,Yunara,Rakan,Rumble,Jarvan IV,Orianna,Lucian,Nami,32,30.5
LVP SL,UCAM Esports,LUA Gaming,Gnar,Maokai,Azir,Corki,Rell,Sion,Trundle,Syndra,Jhin,Alistar,27,32.5
LVP SL,UCAM Esports,LUA Gaming,Ornn,Xin Zhao,Taliyah,Ezreal,Rakan,Renekton,Sejuani,Yone,Varus,Leona,40,32.5
LFL,Solary,Ici Japon Corp. Esport,Rumble,Xin Zhao,Orianna,Lucian,Braum,Galio,Wukong,Azir,Yunara,Rakan,22,33.5
LFL,Solary,Ici Japon Corp. Esport,Sion,Trundle,Viktor,Miss Fortune,Nautilus,Aatrox,Maokai,Corki,Kai'Sa,Leona,26,33.5
ROL,Once Upon A Team,A One Man Army,Gwen,Wukong,Azir,Ashe,Milio,Sett,Trundle,Ekko,Yunara,Rakan,19,31.5
ROL,Once Upon A Team,A One Man Army,K'Sante,Maokai,Yone,Miss Fortune,Poppy,Swain,Jarvan IV,Orianna,Smolder,Rell,20,31.5
LFL,Karmine Corp Blue,Gentle Mates,Gwen,Trundle,Azir,Senna,Alistar,Aurora,Wukong,Taliyah,Jhin,Bard,25,30.5
LFL,Karmine Corp Blue,Gentle Mates,Rumble,Xin Zhao,Galio,Yunara,Rell,K'Sante,Nocturne,Orianna,Kai'Sa,Rakan,32,30.5
LFL,Galions,GameWard,Gwen,Pantheon,Ryze,Miss Fortune,Bard,Gragas,Xin Zhao,Taliyah,Yunara,Lulu,20,32.5
LFL,Galions,GameWard,Aatrox,Wukong,Azir,Senna,Leona,Yorick,Sejuani,Aurelion Sol,Lucian,Nautilus,23,32.5
TCL,Bushido Wildcats,The Forbidden Five,Ambessa,Trundle,Aurelion Sol,Kai'Sa,Leona,Jayce,Wukong,Orianna,Yunara,Rakan,31,28.5
NACL,Conviction,Supernova,Jax,Maokai,Cassiopeia,Riven,Rakan,Jayce,Trundle,Ryze,Corki,Rell,25,33.5
LCP,MGN Vikings Esports,Chiefs Esports Club,Jax,Xin Zhao,Taliyah,Yunara,Braum,Ambessa,Wukong,Annie,Lucian,Alistar,16,26.5
LCP,MGN Vikings Esports,Chiefs Esports Club,K'Sante,Maokai,Yone,Kai'Sa,Neeko,Udyr,Jarvan IV,Aurora,Ezreal,Karma,17,26.5
LCP,Fukuoka SoftBank HAWKS gaming,DetonatioN FocusMe,Sion,Xin Zhao,Azir,Senna,Alistar,K'Sante,Wukong,Taliyah,Yunara,Nautilus,25,25.5
LCP,Fukuoka SoftBank HAWKS gaming,DetonatioN FocusMe,Rumble,Nocturne,Orianna,Corki,Galio,Ornn,Vi,Aurora,Lucian,Braum,31,25.5
LCP,CTBC Flying Oyster,Team Secret Whales,Aurora,Wukong,Galio,Kai'Sa,Rell,Sion,Pantheon,Annie,Yunara,Braum,25,26.5
LCP,CTBC Flying Oyster,Team Secret Whales,Jax,Trundle,Ziggs,Jhin,Bard,Ambessa,Xin Zhao,Azir,Varus,Neeko,31,26.5
LCK,OKSavingsBank BRION Challengers,Hanwha Life Esports Challengers,Gwen,Trundle,Galio,Sivir,Poppy,Ambessa,Zed,Annie,Corki,Alistar,26,31.5
LCK,OKSavingsBank BRION Challengers,Hanwha Life Esports Challengers,Rumble,Vi,Yone,Kog'Maw,Lulu,Sion,Wukong,Ryze,Tristana,Rell,43,31.5
CD,KaBuM! Ilha das Lendas,Corinthians Esports,Ambessa,Xin Zhao,Ryze,Yunara,Bard,Aatrox,Sejuani,Azir,Kai'Sa,Neeko,21,28.5
RL,Zero Tenacity,Orbit Anonymo Esports,Jax,Wukong,Viktor,Corki,Bard,Fiora,Trundle,Taliyah,Ezreal,Rakan,30,34.5
RL,Zero Tenacity,Orbit Anonymo Esports,Sion,Vi,Orianna,Lucian,Braum,Ambessa,Nocturne,Aurora,Ziggs,Rell,27,34.5
LVP SL,UCAM Esports,Ramboot Club,Gwen,Xin Zhao,Ryze,Kai'Sa,Alistar,Ambessa,Wukong,Syndra,Ezreal,Bard,40,31.5
LVP SL,UCAM Esports,Ramboot Club,Rumble,Skarner,Taliyah,Yunara,Renata Glasc,Sion,Vi,Ahri,Corki,Rell,38,31.5
ROL,ZennIT,Senshi eSports,Yorick,Lee Sin,Ryze,Yunara,Neeko,Jax,Trundle,Annie,Caitlyn,Fiddlesticks,35,33.5
ROL,ZennIT,Senshi eSports,Swain,Vi,Taliyah,Jhin,Alistar,Sion,Maokai,Ziggs,Corki,Renata Glasc,34,33.5
LPL,JD Gaming,Top Esports,Ornn,Pantheon,Aurora,Varus,Rakan,Rumble,Jarvan IV,Orianna,Jhin,Alistar,30,30.5
LPL,JD Gaming,Top Esports,K'Sante,Xin Zhao,Azir,Lucian,Braum,Sion,Skarner,Taliyah,Sivir,Rell,35,30.5
NLC,Venomcrest Esports,DMG Esports,K'Sante,Gwen,Ryze,Yunara,Nautilus,Gragas,Wukong,Taliyah,Jinx,Braum,31,34.5
NLC,Venomcrest Esports,DMG Esports,Sion,Viego,Aurora,Lucian,Rell,Ambessa,Vi,Galio,Corki,Nami,41,34.5
LPL,Keypulse Esports,FlameHard,Sion,Trundle,Orianna,Kai'Sa,Rakan,Gwen,Wukong,Akali,Ezreal,Karma,29,33.5
LPL,GTZ Esports,Odivelas Sports Club,K'Sante,Lillia,Hwei,Kai'Sa,Rell,Sion,Volibear,Viktor,Zeri,Alistar,35,35.5
LJL,QT DIG∞,Burning Core Toyama,Sion,Pantheon,Taliyah,Tristana,Nautilus,K'Sante,Vi,Aurora,Yunara,Alistar,35,33.5
LJL,QT DIG∞,Burning Core Toyama,Gwen,Nocturne,Orianna,Xayah,Rakan,Gragas,Xin Zhao,Viego,Ezreal,Hwei,30,33.5
LPL,FunPlus Phoenix,Team WE,Rumble,Sejuani,Yone,Zeri,Rell,Ornn,Trundle,Aurora,Corki,Alistar,31,30.5
LPL,FunPlus Phoenix,Team WE,Ambessa,Skarner,Taliyah,Jhin,Nautilus,Yorick,Pantheon,Annie,Kai'Sa,Neeko,28,30.5
PRM,Berlin International Gaming,TeamOrangeGaming,Rumble,Jarvan IV,Syndra,Kai'Sa,Alistar,Aurora,Trundle,Ekko,Yunara,Bard,33,33.5
PRM,Berlin International Gaming,TeamOrangeGaming,Sion,Pantheon,Orianna,Xayah,Rell,Ambessa,Wukong,Annie,Sivir,Braum,34,33.5
ROL,Myth Esports,mCon esports,Renekton,Jarvan IV,Azir,Miss Fortune,Braum,Poppy,Pantheon,Taliyah,Jhin,Nautilus,41,34.5
ROL,Myth Esports,mCon esports,Darius,Wukong,Orianna,Kog'Maw,Leona,Jax,Lee Sin,Galio,Hwei,Alistar,39,34.5
LFL,GameWard,Karmine Corp Blue,Ornn,Wukong,Akali,Aphelios,Lulu,Ambessa,Trundle,Orianna,Yunara,Blitzcrank,17,28.5
LFL,GameWard,Karmine Corp Blue,K'Sante,Pantheon,Aurora,Ezreal,Neeko,Yorick,Xin Zhao,Taliyah,Jhin,Rell,26,28.5
EBL,Crvena zvezda Esports,Lenovo Legion Honvéd,Gwen,Pantheon,Taliyah,Corki,Rakan,Jax,Trundle,Hwei,Yunara,Lulu,26,34.5
EBL,Crvena zvezda Esports,Lenovo Legion Honvéd,Aatrox,Xin Zhao,Orianna,Sivir,Alistar,Sion,Wukong,Akali,Kog'Maw,Braum,29,34.5
LPL,Crusaders,Hurricane of Feathers,Aatrox,Trundle,Viktor,Yunara,Karma,Ornn,Lillia,Lissandra,Sivir,Lulu,29,34.5
LPL,Team High Ground,ZeroZone Gaming,Ornn,Wukong,Ryze,Yunara,Lulu,Yorick,Viego,Annie,Kog'Maw,Nautilus,23,33.5
LCK,KT Rolster Challengers,DRX Challengers,Gwen,Vi,Annie,Lucian,Poppy,Ambessa,Wukong,Galio,Jhin,Bard,18,33.5
LCK,KT Rolster Challengers,DRX Challengers,Jayce,Trundle,Ryze,Yunara,Nautilus,Yorick,Jarvan IV,Taliyah,Aphelios,Lulu,61,33.5
LCP,PSG Talon,MGN Vikings Esports,Aatrox,Pantheon,Taliyah,Kai'Sa,Neeko,K'Sante,Jarvan IV,Azir,Senna,Nautilus,18,26.5
TCL,Papara SuperMassive,Bushido Wildcats,Aurora,Vi,Orianna,Jhin,Nautilus,Sion,Xin Zhao,Viktor,Corki,Rell,26,33.5
LFL,GameWard,Joblife,Sion,Vi,Taliyah,Aphelios,Lulu,Cho'Gath,Xin Zhao,Viktor,Yunara,Nautilus,26,29.5
LFL,GameWard,Joblife,K'Sante,Trundle,Ryze,Ezreal,Renata Glasc,Ambessa,Nocturne,Aurora,Corki,Bard,25,29.5
LEC,Team Vitality,Natus Vincere,Rumble,Jarvan IV,Orianna,Xayah,Rakan,Jayce,Pantheon,Viktor,Corki,Bard,30,23.5
LEC,Team Vitality,Natus Vincere,Sion,Wukong,Ryze,Lucian,Braum,Ambessa,Xin Zhao,Annie,Ziggs,Alistar,16,23.5
LCK,OKSavingsBank BRION,BNK FearX,Gwen,Wukong,Ahri,Sivir,Rell,Rumble,Xin Zhao,Taliyah,Kai'Sa,Rakan,32,29.5
LPL,JD Gaming,Bilibili Gaming,Sion,Poppy,Azir,Corki,Rell,Rumble,Skarner,Taliyah,Sivir,Alistar,21,29.5
LPL,JD Gaming,Bilibili Gaming,Jax,Wukong,Galio,Kai'Sa,Leona,Ambessa,Xin Zhao,Annie,Yunara,Nautilus,23,29.5
NLC,Los Ratones,Rich Gang,Jax,Pantheon,Azir,Corki,Bard,K'Sante,Wukong,Taliyah,Ezreal,Rell,20,32.5
NLC,Los Ratones,Rich Gang,Ambessa,Nocturne,Orianna,Zeri,Rakan,Volibear,Jarvan IV,Syndra,Sivir,Lulu,27,32.5
EBL,Partizan Sangal,Lenovo Legion Honved,Rumble,Trundle,K'Sante,Xayah,Alistar,Ambessa,Wukong,Aurora,Corki,Neeko,44,35.5
EBL,Partizan Sangal,Lenovo Legion Honved,Jax,Vi,Ryze,Yunara,Soraka,Gragas,Xin Zhao,Brand,Aphelios,Tahm Kench,27,35.5
LPL,Keypulse Esports,The Otter Side,Aurora,Wukong,Galio,Zeri,Rakan,Sion,Xin Zhao,Syndra,Kai'Sa,Rell,21,33.5
LPL,Keypulse Esports,The Otter Side,Gragas,Trundle,Orianna,Aphelios,Nautilus,Ambessa,Pantheon,Akali,Jhin,Karma,35,33.5
LCK,Dplus KIA,DRX,Ornn,Wukong,Orianna,Corki,Leona,Rumble,Pantheon,Annie,Kai'Sa,Rell,28,28.5
LFL,Ici Japon Corp. Esport,Team BDS.A,Renekton,Skarner,Aurora,Yunara,Bard,Jax,Wukong,Orianna,Jinx,Rakan,31,30.5
LFL,Ici Japon Corp. Esport,Team BDS.A,Rumble,Pantheon,Annie,Corki,Rell,Ornn,Trundle,Viktor,Kai'Sa,Nautilus,28,30.5
LPL,Evolve Esports,ZeroZone Gaming,Sion,Wukong,Azir,Lucian,Braum,Gwen,Jarvan IV,Taliyah,Yunara,Rell,38,33.5
LPL,Evolve Esports,ZeroZone Gaming,Olaf,Pantheon,Viktor,Sivir,Rakan,Cho'Gath,Rek'Sai,Syndra,Xayah,Alistar,55,33.5
LFL,Gentle Mates,BK ROG Esports,Gwen,Poppy,Ziggs,Corki,Rell,Jax,Wukong,Azir,Jhin,Nautilus,12,29.5
LFL,Gentle Mates,BK ROG Esports,Aatrox,Trundle,Orianna,Jinx,Neeko,Kled,Vi,Ahri,Yunara,Rakan,27,29.5
LPL,NORTHS FURY,Hurricane of Feathers,Ornn,Fiddlesticks,Viktor,Jhin,Viego,Mordekaiser,Qiyana,Syndra,Jinx,Renata Glasc,39,35.5
LPL,NORTHS FURY,Hurricane of Feathers,Renekton,Jarvan IV,Sylas,Yunara,Lulu,Pantheon,Poppy,Neeko,Ashe,Bard,60,35.5
NACL,Dorado Gaming,Luminosity Gaming,Renekton,Maokai,Corki,Ezreal,Rakan,K'Sante,Sylas,Azir,Sivir,Braum,22,32.5
NACL,Dorado Gaming,Luminosity Gaming,Yorick,Kindred,Galio,Yunara,Lulu,Ambessa,Sejuani,Taliyah,Smolder,Alistar,13,32.5
LPL,Team WE,Top Esports,Rumble,Skarner,Azir,Kai'Sa,Neeko,Gwen,Wukong,Taliyah,Xayah,Rakan,35,30.5
LPL,Team WE,Top Esports,Sion,Jarvan IV,Ryze,Lucian,Braum,K'Sante,Xin Zhao,Aurora,Corki,Alistar,38,30.5
LCK,BNK FearX,Dplus KIA,Rumble,Pantheon,Galio,Varus,Alistar,Gwen,Xin Zhao,Annie,Jhin,Rakan,53,31.5
LCK,BNK FearX,Dplus KIA,K'Sante,Nocturne,Taliyah,Kai'Sa,Neeko,Sion,Jarvan IV,Ahri,Zeri,Lulu,44,31.5
LPL,Anyone's Legend,JD Gaming,Aurora,Pantheon,Orianna,Xayah,Rakan,Rumble,Trundle,Galio,Yunara,Alistar,28,29.5
LPL,Anyone's Legend,JD Gaming,Ambessa,Vi,Taliyah,Sivir,Braum,Sion,Jarvan IV,Azir,Corki,Rell,28,29.5
EBL,Partizan Sangal,Crvena Zvezda,Gwen,Trundle,Azir,Yunara,Bard,K'Sante,Wukong,Orianna,Jinx,Thresh,35,34.5
EBL,Partizan Sangal,Crvena Zvezda,Jax,Lee Sin,Ryze,Corki,Leona,Ambessa,Xin Zhao,Annie,Ezreal,Rell,42,34.5
LEC,SK Gaming,G2 Esports,Gwen,Trundle,Ryze,Corki,Nautilus,Jax,Jarvan IV,Annie,Xayah,Rakan,19,22.5
LEC,SK Gaming,G2 Esports,Sion,Dr. Mundo,Orianna,Kai'Sa,Neeko,Yone,Poppy,Akali,Ezreal,Bard,14,22.5
LEC,Team BDS,Team Heretics,Sion,Wukong,Orianna,Kai'Sa,Rell,Gwen,Sejuani,Jayce,Corki,Nautilus,23,24.5
LEC,Team BDS,Team Heretics,Rumble,Xin Zhao,Sylas,Xayah,Rakan,Aurora,Vi,Taliyah,Aphelios,Alistar,32,24.5
LCK,BNK FearX.Y,DRX.Ch,Rumble,Jax,Azir,Jhin,Bard,Galio,Xin Zhao,Ziggs,Varus,Nautilus,37,32.5
LCK,BNK FearX.Y,DRX.Ch,Ambessa,Vi,Taliyah,Xayah,Rakan,Gwen,Trundle,Ryze,Sivir,Alistar,22,32.5
LEC,Team Vitality,Movistar KOI,Aurora,Pantheon,Ryze,Corki,Rakan,Rumble,Poppy,Orianna,Yunara,Rell,26,25.5
LEC,Team Vitality,Movistar KOI,Gwen,Wukong,Yone,Sivir,Braum,Yasuo,Xin Zhao,Twisted Fate,Xayah,Nautilus,26,25.5
LEC,Natus Vincere,GIANTX,Olaf,Wukong,Akali,Jhin,Rell,Sion,Xin Zhao,Annie,Varus,Gragas,32,25.5
LEC,Natus Vincere,GIANTX,Jayce,Sejuani,Azir,Xayah,Rakan,Aurora,Maokai,Yone,Ezreal,Nautilus,21,25.5
ROL,Once Upon A Team,Senshi eSports,Ambessa,Pantheon,Azir,Sivir,Bard,Sion,Trundle,Viktor,Varus,Karma,18,34.5
ROL,Once Upon A Team,Senshi eSports,Yorick,Sejuani,Taliyah,Kai'Sa,Nautilus,Gragas,Maokai,Corki,Lucian,Braum,25,34.5
ROL,Myth Esports,Jormungang,Gnar,Poppy,Hwei,Sivir,Alistar,Sion,Wukong,Orianna,Aphelios,Nautilus,31,34.5
TCL,Besiktas Esports,Papara SuperMassive,Ambessa,Wukong,Taliyah,Ezreal,Rell,Gwen,Olaf,Azir,Corki,Braum,22,35.5
TCL,Dark Passage,Misa Esports,Ambessa,Trundle,Azir,Yunara,Alistar,Darius,Wukong,Ryze,Aphelios,Rell,38,32.5
LFL,BK ROG Esports,Karmine Corp Blue,Gwen,Jarvan IV,Orianna,Jinx,Alistar,Aurora,Pantheon,Azir,Yunara,Bard,32,29.5
