league,t1,t2,top_t1,jung_t1,mid_t1,adc_t1,sup_t1,top_t2,jung_t2,mid_t2,adc_t2,sup_t2,total_kills,bet_value
LJL,QT DIG∞,Burning Core Toyama,Yorick,Xin Zhao,Ahri,Kai'Sa,Nautilus,Sion,Lee Sin,Ryze,Varus,Renata Glasc,31,34.5
LCP,GAM Esports,Team Secret Whales,Rumble,Maokai,Tristana,Senna,Nautilus,Ambessa,Vi,Taliyah,Kalista,Renata Glasc,32,25.5
LCP,GAM Esports,Team Secret Whales,Shen,Nocturne,Ahri,Kai'Sa,Neeko,Sion,Xin Zhao,Sylas,Xayah,Rakan,29,25.5
LTA S,Vivo Keyd Stars,Isurus Estral,Sion,Vi,Azir,Xayah,Rakan,Ambessa,Xin Zhao,Taliyah,Varus,Neeko,20,28.5
LTA S,Vivo Keyd Stars,Isurus Estral,Rumble,Skarner,Viktor,Miss Fortune,Rell,K'Sante,Wukong,Ryze,Ezreal,Alistar,44,28.5
LIT,Zena Esports,GMBLERS Esports,K'Sante,Trundle,Taliyah,Xayah,Leona,Gwen,Vi,Orianna,Corki,Braum,34,27.5
ROL,A One Man Army,Aurora,Rumble,Maokai,Tristana,Smolder,Rakan,Ornn,Vi,Viktor,Sivir,Rell,23,33.5
NLC,Lundqvist Lightside,DMG Esports,K'Sante,Xin Zhao,Taliyah,Varus,Neeko,Fiora,Wukong,Annie,Sivir,Janna,27,34.5
NLC,Verdant,Bulldog Esports,Yorick,Jarvan IV,Azir,Caitlyn,Leona,Renekton,Wukong,Aurora,Varus,Alistar,38,31.5
LIT,Zena Esports,aNc Legends,K'Sante,Trundle,Taliyah,Jhin,Rell,Renekton,Jarvan IV,Aurora,Miss Fortune,Braum,32,29.5
NLC,Lundqvist Lightside,Los Ratones,Poppy,Trundle,Syndra,Jhin,Rakan,Sejuani,Viego,Akali,Varus,Nautilus,21,34.5
