total_kills,league_mean_kills,league,mean_total_kills_t1,mean_total_kills_t2,bet_line,bet_value,bet_status,house_odds,actual_value,impact_top_t1,impact_top_t2,impact_jung_t1,impact_jung_t2,impact_mid_t1,impact_mid_t2,impact_adc_t1,impact_adc_t2,impact_sup_t1,impact_sup_t2
35,30.07286432160804,LPL,39.15384615384615,32.54761904761905,under,36.5,won,1.83,35.0,0.0,0.0,1.2567508672476961,0.0,0.0,0.0,0.7520050888007717,0.9020397066897203,0.46549902257931564,0.0
22,30.07286432160804,LPL,39.15384615384615,32.54761904761905,under,36.5,won,1.83,22.0,1.2452748960137257,0.0,-0.751940118689614,0.0,0.0,2.339012536092831,-1.4326523672446747,0.5231029362444133,-2.2426813296105834,-1.078880905409381
29,28.831481481481482,LCK,27.804347826086957,29.50515463917526,over,25.5,won,1.83,29.0,0.0,-1.5721442954792302,0.0,-0.6320467219229506,0.0,0.0,0.0,0.7520050888007717,-0.9659723665617115,0.46549902257931564
32,28.831481481481482,LCK,27.804347826086957,29.50515463917526,over,25.5,won,1.83,32.0,-0.8659941634725179,0.0,-1.9946898409830425,0.0,-0.6263770292967372,0.0,0.0,0.0,0.0,-0.6816806276591585
26,27.25563909774436,LCP,27.753846153846155,25.638297872340427,under,24.5,lost,1.83,26.0,0.0,0.5609560677137821,0.0,0.0,0.6655385399034301,0.0,0.7520050888007717,0.0,1.7827561319782248,0.0
19,27.25563909774436,LCP,27.753846153846155,25.638297872340427,under,24.5,won,1.83,19.0,-0.5685724682663711,0.0,-2.4473084787996164,0.8434335133614894,-1.234138311281054,0.0,0.0,-0.468056459937813,1.120551452057974,0.46549902257931564
29,33.0375,TCL,34.71621621621622,32.64556962025316,over,32.5,lost,1.83,29.0,0.5609560677137821,0.0,0.0,0.0,0.0,0.6655385399034301,0.0,0.9020397066897203,0.46549902257931564,1.120551452057974
37,33.0375,TCL,34.71621621621622,32.64556962025316,over,32.5,won,1.83,37.0,1.2452748960137257,-1.5721442954792302,1.2567508672476961,-0.751940118689614,-1.0617142411045393,0.0,-0.468056459937813,-1.0421821869666132,-1.078880905409381,-1.842584791571916
18,30.590579710144926,NACL,28.80851063829787,29.92105263157895,over,27.5,lost,1.83,18.0,0.0,0.0,0.0,0.0,-1.0617142411045393,0.0,0.0,0.0,-1.1261807448375052,-3.700805908305771
24,30.590579710144926,NACL,28.80851063829787,29.92105263157895,over,27.5,lost,1.83,24.0,-0.8659941634725179,0.0,0.0,-0.64039106873566,-1.234138311281054,0.0,0.9020397066897203,-1.4326523672446747,-0.6816806276591585,-1.078880905409381
25,27.82010582010582,LTA N,29.026315789473685,27.444444444444443,under,27.5,won,1.83,25.0,0.0,0.5609560677137821,1.2567508672476961,-0.751940118689614,0.0,-1.0617142411045393,0.7520050888007717,0.9020397066897203,-0.6816806276591585,-0.9659723665617115
45,27.82010582010582,LTA N,29.026315789473685,27.444444444444443,under,27.5,lost,1.83,45.0,-1.5721442954792302,3.528201725282017,0.0,0.0,-0.8095983863874423,0.6655385399034301,-0.468056459937813,0.0,1.120551452057974,0.46549902257931564
30,27.14814814814815,LEC,27.384615384615383,26.66304347826087,under,27.5,lost,1.83,30.0,0.5609560677137821,0.0,0.0,0.0,0.0,0.0,-0.468056459937813,-0.9130980650743759,-1.1261807448375052,0.46549902257931564
36,27.14814814814815,LEC,27.384615384615383,26.66304347826087,under,27.5,lost,1.83,36.0,0.0,0.0,-0.64039106873566,1.2567508672476961,-1.1986585288014666,1.2815801036603958,-1.0421821869666132,0.0,1.120551452057974,0.0
27,30.07286432160804,LPL,28.474074074074075,29.010204081632654,under,29.5,won,1.83,27.0,0.0,-1.5721442954792302,0.0,1.2567508672476961,0.6655385399034301,0.0,-0.9130980650743759,-0.468056459937813,-1.1261807448375052,-0.6816806276591585
27,30.07286432160804,LPL,28.474074074074075,29.010204081632654,under,29.5,won,1.83,27.0,-0.5685724682663711,-1.155716943849221,-0.751940118689614,-0.7760435577368519,0.0,0.0,0.0,0.0,-1.7642883932950575,0.0
52,36.219858156028366,VCS,33.810810810810814,42.142857142857146,over,35.5,won,1.83,52.0,0.0,0.0,0.0,-0.751940118689614,0.6655385399034301,0.0,0.7520050888007717,0.9020397066897203,1.7827561319782248,0.0
19,29.229559748427672,LFL,25.976470588235294,29.155555555555555,under,28.5,won,1.83,19.0,0.5609560677137821,0.0,0.0,-0.751940118689614,0.0,0.0,-0.468056459937813,0.0,-1.1261807448375052,1.7827561319782248
13,29.229559748427672,LFL,25.976470588235294,29.155555555555555,under,28.5,won,1.83,13.0,0.0,2.6805826776629686,-1.0332368361565436,-0.7760435577368519,-1.234138311281054,0.0,0.0,0.0,-0.9659723665617115,0.46549902257931564
29,36.1413612565445,EBL,31.586206896551722,35.189655172413794,under,33.5,won,1.83,29.0,0.0,0.0,0.0,-0.6320467219229506,0.0,0.0,0.7520050888007717,0.9020397066897203,-1.1261807448375052,-0.6816806276591585
29,36.1413612565445,EBL,31.586206896551722,35.189655172413794,under,33.5,won,1.83,29.0,-0.8659941634725179,0.0,-0.64039106873566,-1.0332368361565436,-0.8095983863874423,0.6655385399034301,0.0,0.0,1.120551452057974,0.46549902257931564
25,36.219858156028366,VCS,42.142857142857146,33.142857142857146,over,35.5,lost,1.83,25.0,-0.8659941634725179,0.0,1.2567508672476961,0.0,0.0,0.6655385399034301,0.7520050888007717,0.0,-0.6816806276591585,0.46549902257931564
