total_kills,league_mean_kills,league,mean_total_kills_t1,mean_total_kills_t2,bet_line,bet_value,bet_status,house_odds,actual_value,impact_top_t1,impact_top_t2,impact_jung_t1,impact_jung_t2,impact_mid_t1,impact_mid_t2,impact_adc_t1,impact_adc_t2,impact_sup_t1,impact_sup_t2,won,profit,prob_under
34,33.06190476190476,NLC,34.935483870967744,29.694444444444443,under,33.5,lost,1.83,34.0,0.5609560677137821,-1.155716943849221,0.0,0.0,-0.8095983863874423,0.6655385399034301,-0.913098065074376,0.9020397066897204,-1.1261807448375052,1.120551452057974,0,-1.0,0.4730930699420081
27,36.1413612565445,EBL,35.189655172413794,31.58620689655172,under,34.5,won,1.83,27.0,-0.5685724682663711,0.0,-1.0332368361565436,-0.6320467219229506,-0.6263770292967372,0.0,0.7520050888007717,0.9020397066897204,-0.6816806276591585,1.7827561319782248,1,0.8300000000000001,0.46941820009591223
36,36.1413612565445,EBL,35.189655172413794,31.58620689655172,under,34.5,lost,1.83,36.0,-1.155716943849221,-0.8659941634725179,0.0,0.0,-0.8095983863874423,0.6655385399034301,-1.2403757694101287,-0.8113044475574895,-1.1261807448375052,0.0,0,-1.0,0.5825244299624093
18,30.12878787878788,LVP SL,28.45833333333333,31.548076923076923,under,32.5,won,1.83,18.0,0.0,-0.8659941634725179,0.0,-1.0332368361565436,0.0,0.0,0.7520050888007717,-0.468056459937813,-1.078880905409381,1.120551452057974,1,0.8300000000000001,0.5936403826382035
25,32.79136690647482,LIT,32.285714285714285,32.476190476190474,over,27.5,lost,1.83,25.0,-0.5685724682663711,0.0,0.0,0.0,-1.0617142411045393,0.0,0.0,-0.8113044475574895,0.0,0.4654990225793156,0,-1.0,0.47161965413414697
21,33.06190476190476,NLC,32.016666666666666,29.694444444444443,under,31.5,won,1.83,21.0,0.0,0.0,-0.7760435577368519,0.0,0.6655385399034301,1.0853159537389274,0.0,-0.913098065074376,0.4654990225793156,-1.1261807448375052,1,0.8300000000000001,0.49035381878588225
32,30.12878787878788,LVP SL,30.9811320754717,27.19298245614035,under,32.5,won,1.83,32.0,0.0,0.0,-0.6320467219229506,0.0,1.0853159537389274,1.2815801036603958,-0.913098065074376,0.0,-1.1261807448375052,0.4654990225793156,1,0.8300000000000001,0.5460274130499247
30,30.59057971014493,NACL,31.08888888888889,27.07843137254902,over,27.5,won,1.83,30.0,0.5609560677137821,0.0,-0.7760435577368519,-0.6320467219229506,-0.6263770292967372,0.0,0.5231029362444133,0.0,-1.1261807448375052,0.4654990225793156,1,0.8300000000000001,0.621532618079941
32,30.59057971014493,NACL,31.32758620689655,33.285714285714285,under,29.5,lost,1.83,32.0,0.0,0.0,-1.0332368361565436,-0.6320467219229506,-1.234138311281054,0.0,0.9020397066897204,0.7520050888007717,-1.1261807448375052,-1.057365285027263,0,-1.0,0.621419533600316
29,33.0375,TCL,29.928571428571427,30.63636363636364,under,29.5,won,1.83,29.0,0.0,0.5609560677137821,-0.64039106873566,0.0,-1.1986585288014666,0.0,-0.468056459937813,0.9020397066897204,0.4654990225793156,1.120551452057974,1,0.8300000000000001,0.46114775159552246
34,34.5625,RL,35.397260273972606,38.3125,over,32.5,won,1.83,34.0,0.0,0.0,-0.7760435577368519,0.0,0.0,-0.8095983863874423,0.0,0.5231029362444133,-1.7642883932950577,1.120551452057974,1,0.8300000000000001,0.43425911254401506
38,34.5625,RL,35.397260273972606,38.3125,over,32.5,won,1.83,38.0,0.0,0.0,1.757209358869801,1.0984264443831435,0.0,-0.6263770292967372,0.9020397066897204,-0.8113044475574895,0.0,-1.057365285027263,1,0.8300000000000001,0.23002258004542073
27,29.229559748427672,LFL,25.97647058823529,26.232558139534884,under,27.5,won,1.83,27.0,-1.155716943849221,0.0,-0.6320467219229506,-0.7760435577368519,0.6655385399034301,1.0853159537389274,0.7520050888007717,0.9020397066897204,0.4654990225793156,1.7827561319782248,1,0.8300000000000001,0.5454141709909441
21,29.229559748427672,LFL,25.97647058823529,26.232558139534884,under,27.5,won,1.83,21.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0421821869666132,0.5231029362444133,0.0,-2.2426813296105834,1,0.8300000000000001,0.7138758869489455
40,32.79136690647482,LIT,34.16326530612245,32.476190476190474,over,28.5,won,1.83,40.0,0.0,-1.155716943849221,-0.7760435577368519,0.0,0.6655385399034301,0.0,-0.468056459937813,-1.4326523672446747,-1.078880905409381,1.7827561319782248,1,0.8300000000000001,0.5113966705568043
30,36.1413612565445,EBL,38.659574468085104,35.39772727272727,under,35.5,won,1.83,30.0,-0.5685724682663711,0.0,-2.4473084787996164,-0.6320467219229506,-0.8095983863874423,1.0853159537389274,-0.913098065074376,0.0,1.7827561319782248,-1.1261807448375052,1,0.8300000000000001,0.44891222178921036
50,36.1413612565445,EBL,38.659574468085104,35.39772727272727,under,35.5,lost,1.83,50.0,0.0,0.0,0.0,-0.7760435577368519,1.2815801036603958,0.0,0.0,-0.468056459937813,0.0,-1.057365285027263,0,-1.0,0.3726834095880141
25,32.79136690647482,LIT,32.285714285714285,32.0,over,27.5,lost,1.83,25.0,0.0,0.0,0.0,-1.9946898409830425,0.0,0.6655385399034301,0.0,0.0,1.7827561319782248,1.120551452057974,0,-1.0,0.3811244946026471
29,30.59057971014493,NACL,31.32758620689655,28.80851063829787,under,30.5,won,1.83,29.0,-0.5685724682663711,0.0,0.0,0.0,0.6655385399034301,-0.8095983863874423,0.9020397066897204,0.0,-1.1261807448375052,-1.057365285027263,1,0.8300000000000001,0.6280958128451481
26,30.59057971014493,NACL,32.1,30.5,under,31.5,won,1.83,26.0,0.5609560677137821,0.0,-0.6320467219229506,-0.7760435577368519,0.0,0.6655385399034301,0.0,0.9020397066897204,0.0,-1.057365285027263,1,0.8300000000000001,0.5188089836532083
18,30.07286432160804,LPL,31.225225225225227,26.88571428571429,under,28.5,won,1.83,18.0,0.0,0.5609560677137821,0.0,-0.7760435577368519,0.6655385399034301,0.0,0.0,-0.468056459937813,0.4654990225793156,-0.9659723665617116,1,0.8300000000000001,0.5562598140315118
11,30.07286432160804,LPL,31.225225225225227,26.88571428571429,under,28.5,won,1.83,11.0,0.0,-1.5721442954792302,1.0984264443831435,0.0,0.0,-0.6263770292967372,0.7520050888007717,0.9020397066897204,-0.6816806276591585,-1.1261807448375052,1,0.8300000000000001,0.6133230830527563
